seedling_id,seedling_sp,soil_type,neighbor,neighb_sp,neighb_st,pot,treatment
3995,Q,P,4007,Q,P,211053,C
3913,P,Q,3970,Q,P,211091,C
3970,Q,P,3913,P,Q,211091,C
4388,P,P,4392,P,P,211095,C
4392,P,P,4388,P,P,211095,C
4136,Q,P,3755,P,Q,211310,D
3755,P,Q,4136,Q,P,211310,D
3096,Q,C,3573,Q,Q,211282,D
3573,Q,Q,3096,Q,C,211282,D
3850,P,Q,4133,Q,P,211294,C
4133,Q,P,3850,P,Q,211294,C
3237,Q,C,4124,Q,P,211287,D
4124,Q,P,3237,Q,C,211287,D
3338,P,C,3825,P,Q,211325,C
3825,P,Q,3338,P,C,211325,C
3055,Q,C,3076,Q,C,211244,D
3076,Q,C,3055,Q,C,211244,D
4373,P,P,3323,P,C,211296,D
3323,P,C,4373,P,P,211296,D
3622,Q,Q,4010,Q,P,211293,D
4010,Q,P,3622,Q,Q,211293,D
4370,P,P,4067,Q,P,211225,D
4067,Q,P,4370,P,P,211225,D
4412,P,P,3426,P,C,211299,C
3426,P,C,4412,P,P,211299,C
4254,P,P,3725,P,Q,211283,C
3725,P,Q,4254,P,P,211283,C
3614,Q,Q,4367,P,P,211320,C
4367,P,P,3614,Q,Q,211320,C
3240,Q,C,3067,Q,C,211289,D
3067,Q,C,3240,Q,C,211289,D
4422,P,P,3172,Q,C,211298,C
3172,Q,C,4422,P,P,211298,C
3349,P,C,3891,P,Q,211271,D
3891,P,Q,3349,P,C,211271,D
3577,Q,Q,3767,P,Q,211327,D
3767,P,Q,3577,Q,Q,211327,D
4032,Q,P,4326,P,P,211285,D
4326,P,P,4032,Q,P,211285,D
4013,Q,P,3856,P,Q,211326,C
3856,P,Q,4013,Q,P,211326,C
3987,Q,P,3056,Q,C,211216,D
3056,Q,C,3987,Q,P,211216,D
3324,P,C,3908,P,Q,211295,NA
3908,P,Q,3324,P,C,211295,NA
3051,Q,C,3486,Q,Q,211286,D
3486,Q,Q,3051,Q,C,211286,D
4135,Q,P,3095,Q,C,211288,C
3095,Q,C,4135,Q,P,211288,C
4222,P,P,3808,P,Q,211277,C
3808,P,Q,4222,P,P,211277,C
3877,P,Q,4363,P,P,211290,NA
4363,P,P,3877,P,Q,211290,NA
