files,seedling_id,plant_compartment,seedling_sp,soil_type,blk_pixels,area
3000_G.jpg,3000,G,Q,C,87460,0.15062585680726917
3000_H.jpg,3000,H,Q,C,104079,0.179247525161717
3001_G332.jpg,3001,G,Q,C,38213,0.06581140940059658
3001_H142.jpg,3001,H,Q,C,59187,0.10193337053340773
3002_G282.jpg,3002,G,Q,C,85687,0.14757235070025695
3002_H079.jpg,3002,H,Q,C,94671,0.16304482608965218
3002_M080.jpg,3002,M,Q,C,2637,0.004541509083018166
3002_P283.jpg,3002,P,Q,C,2259,0.003890507781015562
3005_G273.jpg,3005,G,Q,C,38986,0.06714268984093524
3005_H081.jpg,3005,H,Q,C,71439,0.12303407940149214
3005_P274.jpg,3005,P,Q,C,2537,0.00436928651635081
3006_G359.jpg,3006,G,Q,C,117960,0.20315373964081263
3006_H197.jpg,3006,H,Q,C,54673,0.0941592438740433
3007_G311.jpg,3007,G,Q,C,56466,0.09724719449438898
3007_H061.jpg,3007,H,Q,C,125324,0.2158362094501967
3007_M062.jpg,3007,M,Q,C,5822,0.010026797831373441
3007_P312.jpg,3007,P,Q,C,5341,0.00919840728570346
3026_G463.jpg,3026,G,Q,C,34319,0.05910506265456975
3033_G415.jpg,3033,G,Q,C,60694,0.10452876461308479
3033_H187.jpg,3033,H,Q,C,32494,0.05596200081289052
3033_M188.jpg,3033,M,Q,C,2620,0.004512231246684715
3042_G391.jpg,3042,G,Q,C,80620,0.13884583324722205
3042_H158.jpg,3042,H,Q,C,90072,0.1551243102486205
3043_G387.jpg,3043,G,Q,C,15776,0.027169832117442012
3043_H233.jpg,3043,H,Q,C,52438,0.09031006950902791
3046_G.jpg,3046,G,Q,C,72175,0.12430163749216387
3046_H.jpg,3046,H,Q,C,67030,0.11544078643712843
3048_G471.jpg,3048,G,Q,C,5314,0.009151907192703274
3048_P472.jpg,3048,P,Q,C,2341,0.004031730285682793
3051_G267.jpg,3051,G,Q,C,46508,0.08009727130565372
3051_H070.jpg,3051,H,Q,C,67953,0.11703040072746812
3051_M071.jpg,3051,M,Q,C,4865,0.008378627868366849
3051_P268.jpg,3051,P,Q,C,4809,0.008282183231033129
3077_G515.jpg,3077,G,Q,C,38153,0.06570807586059617
3102_G253.jpg,3102,G,Q,C,52877,0.0910661265766976
3102_H090.jpg,3102,H,Q,C,41999,0.07233175577462266
3107_G361.jpg,3107,G,Q,C,33628,0.05791500471889833
3107_H193.jpg,3107,H,Q,C,62422,0.10750477056509669
3107_M194.jpg,3107,M,Q,C,4467,0.007693182053030773
3107_P362.jpg,3107,P,Q,C,804,0.0013846694360055386
3108_G436.jpg,3108,G,Q,C,55279,0.09520291262804748
3110_G314.jpg,3110,G,Q,C,54619,0.09406624368804294
3110_H093.jpg,3110,H,Q,C,72641,0.12510419465283376
3110_M094.jpg,3110,M,Q,C,6887,0.011860968166380777
3111_G425.jpg,3111,G,Q,C,74546,0.12838503454784686
3111_H165.jpg,3111,H,Q,C,81781,0.14084533724623005
3112_G363.jpg,3112,G,Q,C,19100,0.03289451023346491
3112_H190.jpg,3112,H,Q,C,22465,0.03868979960182142
3112_M191.jpg,3112,M,Q,C,2576,0.004436453317351079
