files,seedling_id,plant_compartment,seedling_sp,soil_type,blk_pixels,area
3741_M182.jpg,3741,M,P,Q,9477,0.016321532643065285
3741_P326.jpg,3741,P,P,Q,2569,0.004424397737684364
3742_G337.jpg,3742,G,P,Q,121665,0.20953458573583814
3742_H224.jpg,3742,H,P,Q,72150,0.12425858185049704
3742_M225.jpg,3742,M,P,Q,9563,0.01646964405039921
3742_P338.jpg,3742,P,P,Q,9071,0.015622309022395822
3744_G488.jpg,3744,G,P,Q,16409,0.028260000964446374
3744_H020.jpg,3744,H,P,Q,13400,0.023077823933425643
3744_M021.jpg,3744,M,P,Q,4409,0.007593292964363707
3744_P489.jpg,3744,P,P,Q,3542,0.006100123311357734
3746_G446.jpg,3746,G,P,Q,2313,0.003983507967015934
3746_P447.jpg,3746,P,P,Q,3425,0.005898622908356928
3760_G242.jpg,3760,G,P,Q,98662,0.16991822872534634
3760_H126.jpg,3760,H,P,Q,193481,0.3332179442136662
3760_M127.jpg,3760,M,P,Q,7524,0.012958025916051831
3760_P243.jpg,3760,P,P,Q,6440,0.011091133293377698
3767_G284.jpg,3767,G,P,Q,76927,0.13248565386019662
3767_H063.jpg,3767,H,P,Q,57841,0.09961525478606513
3767_M064.jpg,3767,M,P,Q,2758,0.004749898388685666
3767_P285.jpg,3767,P,P,Q,2852,0.00491178760135298
3769_G353.jpg,3769,G,P,Q,142758,0.24586149172298344
3769_H148.jpg,3769,H,P,Q,77161,0.13288865466619823
3769_M149.jpg,3769,M,P,Q,5603,0.009649630410371932
3769_P354.jpg,3769,P,P,Q,7366,0.01268591426071741
3772_G093.jpg,3772,G,P,Q,45542,0.07843360131164706
3772_H021.jpg,3772,H,P,Q,46747,0.0805088832399887
3772_M022.jpg,3772,M,P,Q,4628,0.007970460385365216
3772_P094.jpg,3772,P,P,Q,3608,0.006213790205358188
3774_G240.jpg,3774,G,P,Q,44115,0.0759759852853039
3774_H100.jpg,3774,H,P,Q,71859,0.12375741418149502
3774_M101.jpg,3774,M,P,Q,5249,0.009039962524369493
3774_P241.jpg,3774,P,P,Q,5138,0.008848795475368728
3777_G.jpg,3777,G,P,Q,116295,0.20028623390580114
3777_H111.jpg,3777,H,P,Q,79487,0.1368945515668809
3777_M112.jpg,3777,M,P,Q,3916,0.006744235710693644
3777_P.jpg,3777,P,P,Q,5103,0.008788517577035155
3778_G451.jpg,3778,G,P,Q,64806,0.11161055655444645
3778_P452.jpg,3778,P,P,Q,4238,0.0072987923753625285
3779_G301.jpg,3779,G,P,Q,74602,0.1284814791851806
