plate,column,row,re_plate,re_column,re_row
219010,8,B,repot2,12,B
219010,8,C,repot2,12,C
219010,8,D,repot2,12,D
219010,8,E,repot2,12,E
219010,8,F,repot2,12,F
219010,8,G,repot2,12,G
219010,8,H,repot2,12,H
219011,5,A,repot3,1,A
219011,5,B,repot3,1,B
219011,5,C,repot3,1,C
219011,5,D,repot3,1,D
219011,5,E,repot3,1,E
219011,5,F,repot3,1,F
219011,5,G,repot3,1,G
219011,5,H,repot3,1,H
219011,6,A,repot3,2,A
219011,6,B,repot3,2,B
219011,6,C,repot3,2,C
219011,6,D,repot3,2,D
219011,6,E,repot3,2,E
219011,6,F,repot3,2,F
219011,6,G,repot3,2,G
219011,6,H,repot3,2,H
219011,7,A,repot3,3,A
219011,7,B,repot3,3,B
219011,7,C,repot3,3,C
219011,7,D,repot3,3,D
219011,7,E,repot3,3,E
219011,7,F,repot3,3,F
219011,7,G,repot3,3,G
219011,7,H,repot3,3,H
219012,2,A,repot3,4,A
219012,2,B,repot3,4,B
219012,2,C,repot3,4,C
219012,2,D,repot3,4,D
219012,2,E,repot3,4,E
219012,2,F,repot3,4,F
219012,2,G,repot3,4,G
219012,2,H,repot3,4,H
219012,3,A,repot3,5,A
219012,3,B,repot3,5,B
219012,3,C,repot3,5,C
219012,3,D,repot3,5,D
219012,3,E,repot3,5,E
219012,3,F,repot3,5,F
219012,3,G,repot3,5,G
219012,3,H,repot3,5,H
219012,8,A,repot3,6,A
219012,8,B,repot3,6,B
219012,8,C,repot3,6,C
219012,8,D,repot3,6,D
219012,8,E,repot3,6,E
219012,8,F,repot3,6,F
219012,8,G,repot3,6,G
219012,8,H,repot3,6,H
219012,10,A,repot3,7,A
219012,10,B,repot3,7,B
219012,10,C,repot3,7,C
219012,10,D,repot3,7,D
219012,10,E,repot3,7,E
219012,10,F,repot3,7,F
219012,10,G,repot3,7,G
219012,10,H,repot3,7,H
219013,7,A,repot3,8,A
219013,7,B,repot3,8,B
219013,7,C,repot3,8,C
219013,7,D,repot3,8,D
219013,7,E,repot3,8,E
219013,7,F,repot3,8,F
219013,7,G,repot3,8,G
219013,7,H,repot3,8,H
219013,8,A,repot3,9,A
219013,8,B,repot3,9,B
219013,8,C,repot3,9,C
219013,8,D,repot3,9,D
219013,8,E,repot3,9,E
219013,8,F,repot3,9,F
219013,8,G,repot3,9,G
