seedling_id,pustularia_sp,tuber_candidum,cenococcum_sp,rhizopogon_hawkerae,peziza_sp,suillus_lakei,pulled_tips,ecto_tips,prop_assign,prop_colonized
3898,0,0,0,3,0,0,4,3,0.75,0.40540540540540543
3899,2,0,0,5,0,0,8,7,0.875,0.5700934579439252
3900,0,0,0,3,0,0,4,3,0.75,0.4766355140186916
3901,0,0,0,4,0,0,4,4,1,0.34523809523809523
3908,0,0,0,3,0,1,4,4,1,0.6232876712328768
3909,0,0,0,4,0,1,8,5,0.625,0.23076923076923078
3910,0,0,0,8,0,0,8,8,1,0.3937007874015748
3913,0,0,0,4,0,0,4,4,1,0.5652173913043478
3915,0,0,0,8,0,0,8,8,1,0.14
3916,0,0,0,8,0,0,8,8,1,0.12
3917,0,0,0,4,0,0,4,4,1,0.31343283582089554
3918,0,0,0,7,0,0,8,8,1,NA
3921,0,0,0,8,0,0,8,8,1,0.5482233502538071
3932,0,0,0,4,0,0,4,4,1,0.512396694214876
3933,0,0,0,5,0,0,8,5,0.625,0.28776978417266186
3936,0,0,0,6.5,0,1.5,8,8,1,0.4233576642335766
3937,0,0,0,4,0,0,4,4,1,0.6573033707865169
3938,0,0,0,4,0,0,4,4,1,0.3238095238095238
3943,0,0,0,5,0,0,5,5,1,0.22
3946,0,0,0,8,0,0,8,8,1,0.14
3953,0,0,0,2,0,0,4,2,0.5,0.3114754098360656
3954,0,0,0,4,0,0,4,4,1,0.6804979253112033
3955,0,0,0,4,0,0,4,4,1,0.2375
3957,0,0,0,4,0,0,4,4,1,0.7232142857142857
3959,0,0,0,3,0,0,4,4,1,0.06
3963,8,0,0,0,0,0,8,8,1,0.3433734939759036
3964,5,0,0,0,0,0,7,5,0.7142857142857143,0.07471264367816093
3965,5,0,0,0,0,0,5,5,1,0.027777777777777776
3970,8,0,0,0,0,0,8,8,1,0.32903225806451614
3972,6,0,0,0,0,0,7,6,0.8571428571428571,0.10299003322259136
3973,7,0,0,0,0,0,8,7,0.875,0.08333333333333333
3974,5,0,0,0,0,0,8,5,0.625,0.12171837708830549
3977,7,0,0,0,0,0,8,7,0.875,0.4810606060606061
3980,7,0,0,0,0,0,8,7,0.875,0.37846153846153846
3982,2,0,0,0,0,0,4,2,0.5,0.03076923076923077
3985,7,0,0,0,0,0,8,7,0.875,0.5736040609137056
3986,6,0,0,0,0,0,7,6,0.8571428571428571,0.34105960264900664
3991,5,0,0,0,0,0,8,5,0.625,0.0430622009569378
3992,8,0,0,0,0,0,8,8,1,0.07719298245614035
3993,7,0,0,0,0,0,8,7,0.875,0.4226190476190476
3995,3,0,0,0,0,0,4,3,0.75,0.08366533864541832
3999,7,0,0,0,0,0,8,7,0.875,0.30994152046783624
4002,5,0,0,0,0,0,8,5,0.625,0.32608695652173914
4004,4,0,0,0,0,0,4,4,1,0.1318181818181818
4005,8,0,0,0,0,0,8,8,1,0.18473895582329317
4007,5,0,0,0,0,0,8,5,0.625,0.07636363636363637
4008,8,0,0,0,0,0,8,8,1,0.4161490683229814
4018,8,0,0,0,0,0,8,8,1,0.4074074074074074
4022,7,0,0,0,0,0,8,7,0.875,0.4482758620689655
4036,6,0,0,0,0,0,8,6,0.75,0.5622119815668203
4040,6,0,0,0,0,0,8,6,0.75,0.4385026737967914
4082,8,0,0,0,0,0,8,8,1,0.43243243243243246
4083,8,0,0,0,0,0,8,8,1,0.464
4084,8,0,0,0,0,0,8,8,1,0.2683982683982684
4085,8,0,0,0,0,0,8,8,1,0.25
4097,4,0,0,0,0,0,6,4,0.6666666666666666,0.13445378151260504
4125,8,0,0,0,0,0,8,8,1,0.16260162601626016
4126,8,0,0,0,0,0,8,8,1,0.2862453531598513
4128,6,0,0,0,0,0,8,6,0.75,0.30638297872340425
4139,8,0,0,0,0,0,8,8,1,0.1875
4155,7,0,0,0,0,0,7,7,1,0.13983050847457626
4159,5,0,0,0,0,0,6,5,0.8333333333333334,0.11643835616438356
4160,8,0,0,0,0,0,8,8,1,0.4608433734939759
4162,9,0,0,0,0,0,10,9,0.9,0.20365535248041775
4162,9,0,0,0,0,0,10,9,0.9,0.0297029702970297
4163,6,0,0,0,0,0,8,6,0.75,0.7549668874172185
4167,1,0,0,0,0,0,8,1,0.125,0.08847184986595175
4171,6,0,0,0,0,0,8,6,0.75,0.2192513368983957
4173,4,0,0,0,0,0,4,4,1,0.04059040590405904
4175,3,0,0,0,0,0,3,3,1,0
4176,3,0,0,0,0,0,4,3,0.75,0.09219858156028368
4179,8,0,0,0,0,0,8,8,1,0.3881278538812785
4181,5,0,0,0,0,0,8,5,0.625,0.1111111111111111
4183,3,0,0,0,0,0,3,3,1,0.005
4185,5,0,0,0,0,0,5,5,1,0.016
4187,3,0,0,0,0,0,3,3,1,NA
4192,8,0,0,0,0,0,8,8,1,0.015
4195,8,0,0,0,0,0,8,8,1,0.13257575757575757
4196,6,0,0,0,0,0,6,6,1,0.08469055374592833
4201,0,0,0,8,0,0,8,8,1,0.24113475177304963
4202,2,0,0,6,0,0,8,8,1,0.27702702702702703
4205,2,0,0,6,0,0,8,8,1,0.3916349809885932
4208,0,0,0,8,0,0,8,8,1,0.16981132075471697
4209,0,0,0,4,0,0,4,4,1,0.15384615384615385
4212,1,0,0,1,0,0,4,2,0.5,0.20279720279720279
4213,8,0,0,0,0,0,8,8,1,0.23214285714285715
4216,0,0,0,8,0,0,8,8,1,0.12403100775193798
4218,0,0,0,4,0,0,4,4,1,0.4148148148148148
4221,0,0,0,1,0,0,2,1,0.5,0.06741573033707865
4222,0,0,0,2,0,0,2,2,1,0.07006369426751592
4227,1,0,0,2,0,0,4,3,0.75,0.10975609756097561
4229,8,0,0,0,0,0,8,8,1,0.18
4233,0,0,0,4,0,0,4,4,1,0.7074235807860262
4234,0,0,0,8,0,0,8,8,1,0.26737967914438504
4235,0,0,0,4,0,0,4,4,1,0.2631578947368421
4237,4,0,0,4,0,0,8,8,1,0.07377049180327869
4237,4,0,0,4,0,0,8,8,1,0.04
4238,8,0,0,0,0,0,8,8,1,0.25
4240,0,0,0,2,0,0,4,2,0.5,0.13385826771653545
4241,0,0,0,8,0,0,8,8,1,NA
4242,0,0,0,4,0,0,4,4,1,0.40707964601769914
4243,3,0,0,5,0,0,8,8,1,0.525
4244,0,0,0,2,0,0,4,2,0.5,0.03759398496240601
4246,4,0,0,0,0,0,4,4,1,0.08
4249,0,0,0,4,0,0,4,4,1,0.42045454545454547
4251,0,0,0,4,0,0,4,4,1,0.7639751552795031
4253,0,0,0,4,0,0,4,4,1,0.21818181818181817
4254,3,0,0,3,0,0,8,6,0.75,0.5700934579439252
4255,0,0,0,4,0,0,4,4,1,0.3977272727272727
4256,0,0,0,4,0,0,4,4,1,0.1259259259259259
4257,3,0,0,5,0,0,8,8,1,0.5827338129496403
4258,1,0,0,3,0,0,4,4,1,0.7192982456140351
4260,2,0,0,6,0,0,8,8,1,0.6652892561983471
4261,4,0,0,1,0,0,8,5,0.625,0.7898550724637681
4262,0,0,0,6,0,0,8,6,0.75,0.136986301369863
4263,0,0,0,2,0,0,2,2,1,0.25
4265,7,0,0,1,0,0,8,8,1,0.8203125
4266,2,0,0,6,0,0,8,8,1,0.6157894736842106
4269,2,0,0,1,0,0,4,3,0.75,0.005235602094240838
4271,2,0,0,5,0,0,8,7,0.875,0.5038759689922481
4273,0,0,0,4,0,0,4,4,1,0.3258426966292135
4274,4,0,0,0,0,0,4,4,1,0.13043478260869565
4276,1,0,0,6,0,0,8,7,0.875,0.5337837837837838
4277,2,0,0,2,0,0,4,4,1,0.3333333333333333
4278,0,0,0,8,0,0,8,8,1,0.45038167938931295
4279,0,0,0,3,0,0,4,3,0.75,0.12280701754385964
4280,0,0,0,2,0,0,2,2,1,0.304635761589404
4282,0,0,0,4,0,0,4,4,1,0.2631578947368421
4283,0,0,0,4,0,0,4,4,1,0.5669291338582677
4284,0,0,0,6,0,0,8,6,0.75,0.43349753694581283
4285,0,0,0,4,0,0,4,4,1,0.36363636363636365
4286,3,0,0,5,0,0,8,8,1,0.620253164556962
4289,0,0,0,3,0,0,4,3,0.75,0.13245033112582782
4293,0,0,0,4,0,0,4,4,1,0.5662650602409639
4297,0,0,0,4,0,0,4,4,1,0.29245283018867924
4302,0,0,0,8,0,0,8,8,1,0.40487804878048783
4305,0,0,0,2,0,0,4,2,0.5,0.41818181818181815
4307,0,0,0,2,0,0,2,2,1,0.07317073170731707
4308,0,0,0,3,0,0,4,3,0.75,0.1349206349206349
4309,1,0,0,3,0,0,8,4,0.5,0.5
4310,1,0,0,1,0,0,3,2,0.6666666666666666,0.04895104895104895
4311,0,0,0,4,0,0,4,4,1,0.27350427350427353
4312,0,0,0,4,0,0,4,4,1,0.3401360544217687
4315,0,0,0,2,0,0,2,2,1,0.18902439024390244
4316,3,0,0,5,0,0,8,8,1,0.5652173913043478
4317,2,0,0,1,0,0,4,3,0.75,0.14388489208633093
4318,0,0,0,4,0,0,4,4,1,0.1282051282051282
