seedling_id,pustularia_sp,tuber_candidum,cenococcum_sp,rhizopogon_hawkerae,peziza_sp,suillus_lakei,richness
3482,0.03768115942028986,0.03768115942028986,0,0,0,0,2
3487,0.40154367469879515,0.17846385542168675,0.08923192771084337,0,0.044615963855421686,0,4
3488,0,0,0.003676470588235294,0,0,0,1
3492,0.18663594470046083,0.031105990783410135,0,0,0,0,2
3493,0.09999999999999999,0.06666666666666667,0,0,0,0,2
3497,0.04509803921568627,0,0.01503267973856209,0,0,0,2
3504,0.04291044776119403,0,0,0,0.02574626865671642,0,2
3506,0.05536912751677853,0.018456375838926176,0,0,0,0,2
3508,0,0,0.030395136778115502,0,0,0,1
3509,0.2267857142857143,0,0.06479591836734694,0,0.09719387755102041,0,3
3513,0.04032258064516129,0.282258064516129,0,0,0,0,2
3536,0.08424657534246575,0,0.014041095890410958,0,0.014041095890410958,0,3
3539,0.1309288537549407,0.10474308300395256,0.10474308300395256,0,0.02618577075098814,0,4
3542,0.09064885496183206,0,0,0,0,0,1
3548,0.34265734265734266,0,0,0,0,0,1
3551,0.03431372549019608,0.01715686274509804,0.05147058823529412,0,0,0,3
3553,0.1206896551724138,0.09655172413793103,0.09655172413793103,0,0.02413793103448276,0,4
3579,0.6941666666666667,0,0,0,0,0,1
3604,0.16120218579234974,0.1209016393442623,0.040300546448087435,0,0,0,3
3608,0.1844758064516129,0.04099462365591397,0.04099462365591397,0,0.020497311827956985,0,4
3615,0.09061488673139159,0,0.012944983818770227,0,0,0,2
3630,0.0582010582010582,0,0.1164021164021164,0,0,0,2
3641,0.16388888888888892,0,0.09833333333333334,0,0,0,2
3650,0.033632286995515695,0,0.05044843049327354,0,0.016816143497757848,0,3
3652,0.4775510204081633,0.07959183673469387,0,0,0,0,2
3653,0.06324110671936758,0.018068887634105024,0.03613777526821005,0,0.009034443817052512,0,4
3655,0.12406015037593984,0.020676691729323307,0.020676691729323307,0,0,0,3
3659,0.1475095785440613,0.22126436781609193,0.22126436781609193,0,0,0,3
3662,0.15202702702702703,0,0.15202702702702703,0,0.10135135135135136,0,3
3678,0.07003891050583658,0,0.0311284046692607,0,0.023346303501945526,0,3
3683,0.015,0,0.03,0,0.005000000000000001,0,3
3684,0.0392156862745098,0,0.023529411764705882,0,0,0,2
3688,0,0,0.01,0,0,0,1
3696,0.44999999999999996,0,0.06428571428571428,0,0,0,2
3697,0.043668122270742356,0,0,0,0,0,1
3700,0.27009646302250806,0,0,0,0,0,1
3701,0.005,0,0,0,0.005,0,2
3704,0.003333333333333333,0,0.006666666666666666,0,0,0,2
3708,0.007743362831858407,0,0.061946902654867256,0,0.007743362831858407,0,3
3714,0.04491017964071856,0,0.014970059880239521,0,0,0,2
3715,0.015,0,0.02,0,0.005,0,3
3718,0,0,0.005,0,0,0,1
3722,0,0,0,0.19298245614035087,0,0,1
3723,0,0,0,0.44660194174757284,0,0,1
3724,0,0,0,0.26732673267326734,0,0,1
3725,0,0,0,0.33695652173913043,0,0.33695652173913043,2
3727,0,0,0,0.21610169491525424,0,0,1
3728,0,0,0,0.3548387096774194,0,0,1
3732,0,0,0,0.5396039603960396,0,0,1
3734,0,0,0,0.46219758064516125,0,0.06602822580645161,2
3735,0,0,0,0.5957446808510638,0,0,1
3736,0,0,0,0.6106870229007634,0,0,1
3737,0,0,0,0.36942675159235666,0,0,1
3738,0,0,0,0.40312499999999996,0,0,1
3740,0,0,0,0.09583333333333334,0,0,1
3741,0,0,0,0.6420664206642066,0,0,1
3742,0,0,0,0.19921875,0,0,1
3744,0,0,0,0.44166666666666665,0,0,1
3745,0,0,0,0.5288461538461539,0,0,1
3746,0.12015503875968993,0,0,0.3604651162790698,0,0,2
3751,0,0,0,0.3695652173913043,0,0,1
3752,0,0,0,0.4488888888888889,0,0,1
3755,0,0,0,0.2,0,0,1
3756,0,0,0,0.6258064516129033,0,0,1
3757,0,0,0,0.6470588235294118,0,0,1
3760,0,0,0,0.64,0,0,1
3764,0,0,0,0.1554054054054054,0,0,1
3765,0,0,0,0.22466216216216214,0,0,1
3766,0.07291666666666666,0,0,0.03645833333333333,0,0,2
3767,0,0,0,0.45454545454545453,0,0,1
3769,0,0,0,0.5615141955835962,0,0,1
3771,0,0,0,0.6297872340425532,0,0,1
3773,0,0,0,0.38317757009345793,0,0,1
3774,0,0,0,0.5580524344569289,0,0,1
3775,0,0,0,0.30973451327433627,0,0,1
3776,0,0,0,0.26515151515151514,0,0,1
3777,0,0,0,0.5869565217391305,0,0,1
3778,0,0,0,0.4782608695652174,0,0,1
3779,0,0,0,0.1717171717171717,0,0,1
3780,0,0,0,0.40046838407494145,0,0,1
3781,0,0,0,0.42,0,0,1
3782,0,0,0,0.38095238095238093,0,0,1
3783,0,0,0,0.5653846153846154,0,0,1
3785,0,0,0,0.6131386861313869,0,0,1
3787,0,0,0,0.6346749226006192,0,0,1
3789,0,0,0,0.4198895027624309,0,0,1
3793,0,0,0,0.6015325670498084,0,0,1
3795,0,0,0,0.36627906976744184,0,0,1
3796,0,0,0,0.4166666666666667,0,0,1
3798,0,0,0,0.5565217391304348,0,0,1
3799,0,0,0,0.45918367346938777,0,0,1
3801,0,0,0,0.6536312849162011,0,0,1
3803,0,0,0,0.2896551724137931,0,0,1
3804,0,0,0,0.2585034013605442,0,0,1
3805,0,0,0,0.7982456140350878,0,0,1
3806,0,0,0,0.45384615384615384,0,0,1
3808,0,0,0,0.15555555555555556,0,0,1
3810,0,0,0,0.47560975609756095,0,0,1
3811,0,0,0,0.5298507462686567,0,0,1
3812,0,0,0,0.6407185628742516,0,0,1
3813,0,0,0,0.27040816326530615,0,0,1
3817,0,0,0,0.34057971014492755,0,0,1
3821,0,0,0,0.44680851063829785,0,0,1
3824,0,0,0,0.5121951219512195,0,0,1
3825,0,0,0,0.22395833333333331,0,0,1
3826,0.08079268292682927,0,0,0.3635670731707317,0,0.040396341463414635,3
3827,0,0,0,0.3529411764705882,0,0,1
3828,0,0,0,0.42207792207792205,0,0,1
3832,0,0,0,0.4827586206896552,0,0,1
3833,0,0,0,0.6482758620689655,0,0,1
3834,0.24793388429752067,0,0,0.24793388429752067,0,0,2
3835,0,0,0,0.25170068027210885,0,0,1
3836,0.1175,0,0,0.3525,0,0,2
3838,0,0,0,0.9577464788732394,0,0,1
3839,0.1018041237113402,0,0,0.30541237113402064,0,0,2
3840,0,0,0,0.35526315789473684,0,0,1
3842,0,0,0,0.13846153846153847,0,0,1
3843,0.08541666666666667,0,0,0.25625,0,0,2
3844,0.13333333333333333,0,0,0.33333333333333337,0,0,2
3845,0,0,0,0.0633116883116883,0,0,1
3847,0,0,0,0.30000000000000004,0,0,1
3849,0,0,0,0.23387096774193547,0,0,1
3850,0,0,0,0.39416058394160586,0,0,1
3852,0,0,0,0.22330097087378642,0,0,1
3853,0,0,0,0.3925925925925926,0,0,1
3854,0,0,0,0.20270270270270271,0,0,1
