seedling_id,pot
4370,211225
4067,211225
3426,211299
4412,211299
4136,211310
3755,211310
4367,211320
3614,211320
3240,211289
3067,211289
3172,211298
4422,211298
3237,211287
4124,211287
3338,211325
3825,211325
3076,211244
3055,211244
3850,211294
4133,211294
3573,211282
3096,211282
4373,211296
3323,211296
3622,211293
4010,211293
3724,211201
3742,211201
3521,211126
4258,211126
4202,211161
4132,211161
3896,211145
3938,211145
3489,211163
3511,211163
3108,211159
3119,211159
4399,211279
4227,211279
4027,211162
3580,211162
4273,211157
3423,211157
3518,211127
3113,211127
4271,211133
3757,211133
4055,211154
3853,211154
3415,211158
3862,211158
4146,211210
3531,211210
4419,211197
4047,211197
4035,211189
4321,211189
3124,211130
4060,211130
4249,211137
3497,211137
4257,211131
4092,211131
4413,211141
3530,211141
3425,211203
3852,211203
3835,211190
3498,211190
3748,211138
3735,211138
4253,211188
3254,211188
3567,211146
3917,211146
3843,211195
4117,211195
4041,211205
3107,211205
3241,211135
4251,211135
3414,211160
4336,211160
3496,211132
3505,211132
3517,211193
4323,211193
4029,211153
4056,211153
3265,211208
4344,211208
3120,211213
3664,211213
3128,211211
4297,211211
3261,211149
4410,211149
3741,211106
3493,211106
3842,211152
3568,211152
3327,211207
4311,211207
3484,211241
3845,211241
3583,211156
4343,211156
3563,211182
4152,211182
4046,211155
3859,211155
3549,211215
4221,211215
4397,211217
3834,211217
4330,211212
4019,211212
3377,211280
4396,211280
3433,211185
3474,211185
3626,211184
3629,211184
3328,211235
3727,211235
3880,211209
4127,211209
4379,211224
4063,211224
3817,211151
3849,211151
3804,211278
4401,211278
3599,211246
3640,211246
4307,211247
3387,211247
3184,211226
3545,211226
4387,211297
4353,211297
4043,211200
4394,211200
4011,211178
4308,211178
4020,211345
3158,211345
4436,211313
3361,211313
3438,211191
3250,211191
4145,211198
4212,211198
3901,211187
4277,211187
3898,211305
3339,211305
3751,211144
3258,211144
3325,211232
3333,211232
3873,211177
3475,211177
3556,211233
3893,211233
3999,211199
3860,211199
3440,211192
3854,211192
4218,211307
3723,211307
3252,211143
3738,211143
4095,211128
3519,211128
4122,211328
3737,211328
3130,211194
3016,211194
3167,211312
3535,211312
3434,211346
3900,211346
3998,211314
4424,211314
3746,211306
3623,211306
3133,211176
4143,211176
3378,211308
3897,211308
3148,211302
4062,211302
3609,211347
3606,211347
3740,211316
3369,211316
3189,211329
3565,211329
3533,211315
3994,211315
3359,211311
3348,211311
3581,211344
4015,211344
3985,211054
4269,211054
4266,211043
4398,211043
3392,211060
3400,211060
3993,211058
3112,211058
4163,211084
3937,211084
3972,211057
3921,211057
3986,211056
4417,211056
4176,211055
3977,211055
3806,211021
3705,211021
4368,211052
4384,211052
3995,211053
4007,211053
3970,211091
3913,211091
4392,211095
4388,211095
4378,211323
4089,211323
3619,211322
3621,211322
3052,211284
3551,211284
4361,211292
3847,211292
3877,211290
4363,211290
4222,211277
3808,211277
4135,211288
3095,211288
3051,211286
3486,211286
3324,211295
3908,211295
3056,211216
3987,211216
3349,211271
3891,211271
3577,211327
3767,211327
4032,211285
4326,211285
4054,211142
3725,211283
4013,211326
3856,211326
3783,211249
4309,211249
4403,211248
3591,211248
4105,211301
4380,211301
3576,211234
4329,211234
4286,211164
3997,211164
3731,211321
3766,211321
3736,211318
3899,211318
3337,211272
4289,211272
3613,211300
3558,211300
4310,211276
4305,211276
3379,211324
3358,211324
4042,211227
4120,211227
3331,211214
3334,211214
3582,211230
4416,211230
3832,211291
3858,211291
3805,211002
4390,211002
4005,211003
3504,211003
3126,211022
3111,211022
4167,211018
4196,211018
3959,211038
4183,211038
3026,211045
3654,211045
3274,211042
4155,211061
3033,211061
3125,211041
3509,211041
4002,211063
3778,211063
3980,211096
3013,211096
3954,211089
4261,211089
3782,211011
3628,211011
3946,211338
4185,211338
3275,211059
3259,211042
3801,211059
4238,211088
3916,211088
3058,211266
4148,211266
4151,211269
4147,211269
3688,211031
3043,211031
3035,211051
3718,211051
3969,211040
4082,211040
3279,211267
3281,211267
4291,211270
4290,211270
3760,211273
4026,211273
3943,211093
4192,211093
4317,211046
3638,211046
3495,211004
4319,211004
4213,211019
4187,211019
3002,211080
3005,211080
4341,211077
4391,211077
3135,211250
3132,211250
3586,211254
3876,211254
3963,211086
3696,211086
4262,211074
3264,211074
3810,211087
3630,211087
4228,211268
3532,211268
3890,211263
4315,211263
4302,211014
4236,211014
3789,211016
3779,211016
3715,211023
3867,211023
4293,211265
3272,211265
4024,211264
3544,211264
4033,211262
4025,211262
4165,211027
3012,211027
4334,211065
3680,211065
4075,211071
4069,211071
4285,211073
3284,211073
3774,211092
3965,211092
3547,211242
4038,211242
4415,211251
4328,211251
4407,211245
3383,211245
3110,211072
4083,211072
4070,211070
3552,211070
4159,211075
3114,211075
3584,211255
4255,211255
4079,211256
4280,211256
4162,211012
4320,211012
3008,211036
4195,211036
3772,211050
3982,211050
3188,211257
4034,211257
3653,211118
4098,211118
3412,211007
3398,211007
3046,211166
3600,211166
3335,211196
3905,211196
3933,211097
3245,211097
4279,211090
3728,211090
3695,211048
3714,211048
4134,211260
3824,211260
3837,211229
3587,211229
4386,211258
3597,211258
4160,211076
3973,211076
4278,211013
3798,211013
4405,211035
4318,211035
3605,211259
4037,211259
3601,211261
3141,211261
4028,211147
3955,211147
3260,211124
4400,211124
3665,211183
4426,211183
3967,211078
3693,211078
4335,211108
3734,211108
3872,211114
3251,211114
3559,211150
4000,211150
3785,211204
3888,211204
3269,211079
3270,211079
3679,211034
3799,211034
3836,211120
4243,211120
4139,211202
3007,211202
3473,211186
3773,211186
4021,211231
3590,211231
3936,211094
3964,211094
4061,211103
3483,211103
3553,211172
4312,211172
3557,211171
3826,211171
3117,211113
3102,211113
4158,211101
3482,211101
3494,211134
4260,211134
3243,211105
3242,211105
3266,211111
4283,211111
3662,211123
3655,211123
3118,211115
3136,211115
3000,211148
4014,211148
3276,211125
4324,211125
3529,211119
4097,211119
3957,211117
4345,211117
3775,211066
4333,211066
3812,211238
3513,211238
4240,211239
3722,211239
3744,211100
4371,211100
3506,211099
4099,211099
3756,211098
3745,211098
3796,211032
3683,211032
3883,211335
3381,211335
3524,211237
4018,211237
3885,211136
4316,211136
3732,211104
4100,211104
4369,211170
3953,211170
3508,211109
4276,211109
3129,211112
3127,211112
4362,211116
4241,211116
3752,211102
3739,211102
3617,211222
3592,211222
4109,211252
3821,211252
4205,211179
3828,211179
3541,211221
3879,211221
3042,211240
4017,211240
3139,211083
4085,211083
3543,211140
4081,211140
4404,211181
3566,211181
3839,211139
3838,211139
3787,211009
3700,211009
3522,211167
4402,211167
3861,211168
4144,211168
4233,211129
3244,211129
4254,211283
4235,211142
3855,211223
4001,211223
4031,211253
4071,211253
3385,211017
3793,211017
3502,211044
3780,211044
3646,211169
3643,211169
3525,211174
3048,211174
3574,211303
3183,211303
3151,211304
3191,211304
4274,211010
3795,211010
3612,211206
3827,211206
3539,211122
3918,211122
4036,211180
3536,211180
4429,211317
3615,211317
3593,211175
3006,211175
4268,211028
3271,211028
3186,211337
3645,211337
4123,211330
3894,211330
3616,211218
3840,211218
3278,211219
3833,211219
3550,211336
3181,211336
3562,211331
3570,211331
4209,211332
4086,211332
3771,211085
3697,211085
3268,211033
3386,211033
3708,211082
3709,211082
3803,211067
4242,211067
4325,211020
3781,211020
4008,211008
3992,211008
3554,211220
3018,211220
4256,211001
3991,211001
4230,211081
3701,211081
3776,211030
3273,211030
4044,211333
3197,211333
3569,211068
3932,211068
3027,211047
3011,211047
4175,211024
4237,211024
3044,211037
3045,211037
4170,211029
3704,211029
3769,211334
3382,211334
4322,211173
4408,211173
3650,211062
4265,211062
4066,211005
4332,211005
3974,211049
3001,211049
3077,211236
3611,211236
3109,211069
4096,211069
4091,211107
3488,211107
4435,211319
3364,211319
3356,211281
3813,211281
3915,211039
3958,211039
4030,211274
4149,211274
4246,211026
3711,211026
4004,211110
4157,211110
4140,211228
3589,211228
4284,211165
3603,211165
3542,211243
3255,211121
4327,211121
3038,211006
3481,211006
4229,211025
4166,211025
4088,211064
3684,211064
4281,211015
3390,211015
3620,211309
3140,211309
4087,211275
3594,211275
3844,211243
