seedling_id,height_cm,additional_height,diameter_mm,chlorosis,leaf_count,
3817,6.7,8.5,2.2,5,,
4378,9,9,2.7,5,,
4089,11,8.5,2.9,,24,
3825,6.2,21,2.5,4,,
3338,8.2,17,3,4,,
3752,12.5,7.5,3.1,5,,
3739,6.5,4.5,1.6,0,,
3151,11,0,4.6,,18,
3191,6.7,2,4.7,,3,
3785,10,18,3.3,5,,
3777,9,16.5,2.8,5,,
3260,6,4,2.3,1,,
4400,9,8.5,2.6,5,,
3799,10.3,15.5,4,5,,
3679,5,0,4.3,,5,
3600,9.5,7,5.7,,9,
3046,12,0,5,,5,
4061,10,3,5,,16,
3483,7.5,0,3.2,,4,
3118,9.7,0,4.5,,3,
3136,8.6,0,5,,2,
3000,20,0,5.2,,4,
4014,7.3,0,4.5,,12,
4029,6.7,0,3.2,,9,
4056,7.1,0,7.2,,8,
4159,7.6,1.7,4.2,,6,
3114,5.3,0,4.6,,6,
3837,9.5,11.6,3.1,4,,
3587,20.5,3,5,,5,
3383,7.5,9.5,3.1,5,,
4407,7,20.3,2.3,5,,
3335,7.5,10,2,5,,
3905,8.5,31,3,5,,
3135,6,3.5,7.2,,4,
3132,12,0,4.2,,11,
4280,10.2,23,3,5,,
4079,13.5,0,4.5,,13,
3272,8.7,6.5,2.5,4,,
4293,6.8,17.3,2.9,5,,
4195,10.3,25,4.3,,23,
3008,8.5,0,4.9,,10,
3532,11.4,3.5,4.4,,17,
4228,8.5,7.5,2.2,3,,
4255,5.6,6.5,2,4,,
3584,12,0,4.5,,8,
3250,5.4,2,2.4,0,,
3438,3.5,0,1.6,0,,
3254,5.2,2.5,2.4,3,,
4253,8,3,2.5,3,,
4399,8.6,8,2.7,4,,
4227,12,16,4.2,5,,
4133,11.8,0,5,,8,
3850,5.3,2.5,2.8,3,,
3626,8.8,4.2,3.5,,17,
3629,12.5,0,5.2,,8,
3623,9.5,0,3.6,,10,
3746,10,18,2.7,2,,
3549,10.3,0,4,,14,
4221,8,10,2.6,3,,
4316,11.6,13,3.2,5,,
3885,8,12.3,2.8,4,,
3542,9.7,6.5,3.3,,22,
3844,13.5,8.5,3.5,5,,
3839,13,17,4,5,,
3838,8,14,3.3,3,,
3775,10.8,3,2.3,4,,
4333,11.6,20,2.8,5,,
4218,8.5,19,3.1,5,,
3723,6,10.5,2.1,5,,
3095,8.7,0,5.5,,5,
4135,8.4,2.5,3.2,,11,
3542,10.3,7.5,3.3,,24,
3844,13.6,9,3.3,5,,
3839,13.9,15.5,3.4,5,,
3838,10.3,16,3.3,4,,
3623,9.3,0,3.4,,10,
3746,11.3,18.5,2,3,,
3549,10.6,3.5,4.7,,14,
4221,11.4,8.5,2.7,4,,
4316,12.4,10,3.1,5,,
3885,8.7,9.5,2.6,5,,
3489,27.1,0,4.2,,3,
3511,6.8,0,3.3,,4,
3999,10.7,3.5,3.5,,18,
3860,9.6,26,3.2,5,,
4399,9.4,8,2.5,4,,
4227,12,16,3.8,5,,
4133,11.5,0,3.9,,8,
3850,5.1,3,2.4,2,,
3626,6.9,4.5,3.5,,17,
3629,14.7,1,4.5,,8,
3250,5.4,4,2.3,1,,
3438,3.8,0.5,1.8,1,,
3254,5.4,3,2.1,3,,
4253,8.2,5,2.1,3,,
4195,9.2,23,6.8,,28,
3008,7.7,0,6.3,,10,
3532,11.3,3,3.3,,17,
4228,8.3,6.5,2.1,4,,
4255,7.5,4.5,2,4,,
3584,11.2,0,4.3,,8,
4280,12.2,23,2.5,5,,
4079,14.4,0,5.7,,13,
3272,8.5,7,1.8,4,,
4293,8.4,16.5,2.6,5,,
3383,6,11,1.8,5,,
4407,8.2,22,2.5,5,,
3335,7.6,11,1.9,5,,
3905,8.5,28,2.7,5,,
3135,5.7,3,7.8,,3,
3132,13.5,0,4,,11,
4159,7.2,2,3.4,,6,
3114,4.1,0,6.2,,5,
3587,10.5,3,5.9,,5,
3837,9.6,12,2.5,4,,
3118,10.4,0,3.9,,3,
3136,9.1,0,4.3,,2,
3000,20.6,0,5.9,,4,
4014,7,1,3.9,,12,
4029,6.1,0,2.9,,8,
4056,7.2,0,5,,9,
3600,10.3,6,5.6,,9,
3046,12.8,1,6.1,,5,
4061,9.7,3,3.8,,16,
