cluster,3053root1,3053soil1,3070soil1,3091root1,3094soil1,3098root1,3217root1,3218soil1,3221root1,3221root2,3221soil1,3290root1,3290soil1,3293root1,3293soil1,3300root1,3300soil1,3303root1,3303soil1,3309root1,3309soil1,3311root1,3311soil1,3314root1,3314soil1,3318root1,3318root2,3318soil1,3319root1,3319soil1,3322root1,3322root2,3322soil1,3487soil1,3492root1,3548root1,3548root2,3548soil1,3579root1,3579soil1,3604soil1,3608root1,3608soil1,3641root1,3641root2,3641soil1,3652root1,3678root1,3765root1,3765soil1,3811root1,3811root2,3811soil1,3864root1,3864root2,3864soil1,3866root1,3866soil1,3870root1,3870soil1,3875root1,3875soil1,3886root1,3886soil1,3892root1,3892soil1,3909soil1,3910root1,3910soil1,4022root1,4022soil1,4028soil1,4040soil1,4084root1,4125root1,4125soil1,4126root1,4128root1,4128soil1,4171root1,4171root2,4171soil1,4173root1,4173soil1,4179root1,4201root1,4201soil1,4202root1,4202soil1,4208root1,4208root2,4216root1,4216soil1,4234root1,4234soil1,4244root1,4244soil1,4283root1,4348root1,4348soil1,4377root1,4377soil1,4383root1,4383soil1,4418root1,4418soil1,control1soil1,control2soil1,controlroot1,positive1root1
OTU12,0,0,0,0,0,0,3,0,0,143,0,66,0,0,0,3,0,0,0,85,0,0,0,0,0,0,37,0,39,0,0,101,0,0,2,13,171,0,120,0,0,0,0,0,321,0,0,0,345,0,2272,1910,0,0,66,0,5034,0,3931,0,295,0,0,0,3300,0,0,1542,0,0,0,0,0,0,0,0,10,290,0,3,216,0,0,0,0,2423,0,1434,0,631,984,80,0,2567,0,0,0,405,3,0,3206,0,2776,0,168,0,0,0,0,457
OTU13,103,0,0,0,0,653,12,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU14,0,0,0,0,0,77,37,406,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,82
OTU15,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
OTU16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,49,0,60,0,52,0,45,0,0,0,0,120,5,0,0,149,14,0,111,0,0,0,0
OTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,4,9,0,0,5,0,0,3,0,0,14,12,17,5,0,0,0,2,0,0,0,0,0,0,77,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,8,0,0,0,0,104,0,0,0,15,0,0,13,0,138,0,0,0,19,0,0,0,0
OTU18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,6,0,0,8,0,31,7,2,67,7,12,0,8,0,0,23,0,0,13,0,0,0,0,0,25,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
OTU19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU21,0,0,0,0,0,0,7,0,0,9,0,433,0,0,0,1638,165,323,0,453,19,974,6,781,8,29,8,0,375,0,16,0,0,0,0,16,485,0,0,0,0,0,0,6,15,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,13,0,4,0,0,21,0,0,0,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,718
