seedling_id,seedling_sp,soil_type,aboveground,belowground,foliar,predawn_foliar,midday_foliar,midday_stem,predawn_stem,all_above,ab_ratio,total_size
3241,P,C,0.05940989659757097,0.7545036201183514,0.07851110146664737,0,0,0,0,0.13792099806421834,0.18279699975804498,0.8924246181825697
3242,P,C,0.05019082260386743,0.7499638332609998,0.02319493527875944,0,0,0,0,0.07338575788262687,0.09785239584625065,0.8233495911436267
3243,P,C,0.02435571537809742,0.474750449500899,0.00132783598900531,0,0,0,0,0.025683551367102733,0.054099056449769825,0.5004340008680017
3244,P,C,0.09047884762436192,2.620424907516482,0.6324270981875297,0,0,0,0,0.7229059458118916,0.27587355918434947,3.343330853328373
3245,P,C,0.03833846556582002,0.8317506079456604,0.13368948960120142,0.02724561004677565,0.03921335620449018,0.00458973140168502,0.00431934197201727,0.24739599479198957,0.2974401129721234,1.07914660273765
3250,P,C,0.03348867808846729,0.4182321697976729,0.02978244845378579,0,0,0,0,0.06327112654225309,0.15128230468943027,0.481503296339926
3251,P,C,0.0197849284587458,0.6063698238507588,0.00519595483635411,0,0,0,0,0.02498088329509991,0.041197438118636104,0.6313507071458587
3252,P,C,0.05934617424790405,1.9312952514793915,0.5616453455129132,0,0,0,0,0.6209915197608172,0.3215414728975963,2.5522867712402086
3254,P,C,0.02410599265642975,1.9358298716597433,0.05116904678253801,0.07669759783964013,0,0,0.01347297139038722,0.1654456086689951,0.08546495283035653,2.1012754803287383
3255,P,C,0.05244866045287646,0.9045800869379516,0.10226403786140906,0.02381838097009527,0,0,0.00737629253036283,0.18590737181474362,0.2055178690082039,1.0904874587526951
3258,P,C,0.04434386646551071,0.278990224647116,7.836126783364678e-4,0,0,0,0,0.045127479143847175,0.16175290442855908,0.32411770379096316
3259,P,C,0.05140843615020563,0.669572061366345,0.01046768760204187,0,0,0,0,0.0618761237522475,0.09241144803142112,0.7314481851185924
3260,P,C,0.08004388230998684,0.8287298241263149,0.12521613932116754,0,0,0,0,0.20526002163115437,0.24768026400829599,1.0339898457574692
3261,P,C,0.08740984148634964,1.0539297745262155,0.27262315635742385,0.09668919337838676,0.13040692748052163,0.00253683840701014,0.01111180000137778,0.6007777571110698,0.5700358521336434,1.6547075316372855
3264,P,C,0.06032267620090795,1.5701841403682808,0.17632318597970528,0.04616081454385131,0.02552166215443542,0.00299150598301196,0.00362528502834783,0.31494512989025975,0.20057846834218473,1.8851292702585405
3265,P,C,0.02553543995976881,0.3712274646771515,0.009417129945371,0,0,0,0,0.03495256990513981,0.09415405170934027,0.40618003458229135
3266,P,C,0.07053547440428214,1.2907891926894963,0.3593992187984376,0,0,0,0,0.42993469320271976,0.33307893778294284,1.720723885892216
3268,P,C,0.01739964591040293,0.5976450286233905,0.01587547619539683,0,0,0,0,0.03327512210579976,0.05567706667358271,0.6309201507291903
3269,P,C,0.03201445291779473,0.7537699519843484,0.00591412293935699,0,0,0,0,0.03792857585715172,0.050318503354109936,0.7916985278415001
3270,P,C,0.04434386646551071,0.7161875434861981,0.00238183809700952,0,0,0,0,0.04672570456252023,0.0652422748587231,0.7629132480487183
3271,P,C,0.02002259560074676,0.7225528895502236,0.01801448047340539,0,0,0,0,0.038037076074152146,0.0526426184494668,0.7605899656243758
3272,P,C,0.05216277099220865,1.8982646854182597,0.2390259780519561,0.10541743305708834,0.12756008845351025,0.01112041112971114,0.00872307300170155,0.544009754686176,0.2865826661924704,2.442274440104436
3273,P,C,0.02598149640743726,0.6064077128154256,0.0462262591191849,0,0,0,0,0.07220775552662216,0.11907459948254366,0.6786154683420478
3274,P,C,0.02323454646909294,0.5121795799147154,0.01237074696371615,0,0,0,0,0.03560529343280909,0.0695172061305877,0.5477848733475245
3275,P,C,0.07075247483828301,2.525444161999435,0.38884411102155536,0.03984713524982605,0.04872520856152823,0.00667879113536004,0.00467412045935203,0.5595218412659047,0.22155383583017815,3.0849660032653397
3276,P,C,0.1567208134416269,2.477034120734908,0.9557870226851564,0,0,0,0,1.1125078361267833,0.4491289913264153,3.5895419568616913
3278,P,C,0.05098821308753729,0.8917443390442337,0.2887690219824884,0,0,0,0,0.33975723507002564,0.3810029626138983,1.2315015741142594
3279,P,C,0.02963950372345189,0.44676083796612043,0.02241304482608965,0,0,0,0,0.05205254854954154,0.11651099229402216,0.498813386515662
3281,P,C,0.02512727247676717,0.7731432685087593,0.00126755809067173,0,0,0,0,0.0263948305674389,0.03413963704081563,0.7995380990761981
3284,P,C,0.05255199399287687,0.3825424873071968,0.05134815825187205,0,0,0,0,0.10390015224474891,0.27160421572026056,0.4864426395519457
3323,P,C,0.03665412886381328,1.236415083941279,0.00852846150136744,0.05284649458187805,0,0,0.00561790012468913,0.1036469850717479,0.08382863200063514,1.340062069013027
3325,P,C,0.03537279296780816,0.7200556623335469,0.00515634364602062,0,0,0,0,0.04052913661382878,0.056286116107305495,0.7605847989473756
3327,P,C,0.01441675105572433,0.17873602413871495,0.00296567259801186,0,0,0,0,0.01738242365373619,0.09725193193424675,0.19611844779245113
3331,P,C,0.0242592707407637,0.4567790246691604,0.01248613608338327,0,0,0,0,0.03674540682414697,0.08044460196210022,0.4935244314933074
3333,P,C,0.03042311640178836,0.6079370492074317,0.0071834032556954,0,0,0,0,0.03760651965748376,0.06185923313361379,0.6455435688649155
3334,P,C,0.02255771178209023,0.41073359924497627,0.04043269197649506,0,0,0,0,0.06299040375858529,0.15336072791312005,0.47372400300356154
