Pot ID,Drought or control,Moisture,Moisture,Moisture,Moisture ,Moisture,Moisture,Moisture
211123,C,7,8,9,7,7,7,7
211219,C,7,7,8,7,7,8,8
211005,C,7,7,7,7,9,7,7
211160,C,8,7,7,8,8,7,7
211037,D ,9,10,10,9,12,12,12
211344,D ,9,14,15,13,13,9,8
211135,D ,7,7,7,7,7,7,8
211062,D ,7,7,7,8,10,9,12
211314,D ,7,7,7,7,7,7,7
211177,D ,7,8,8,8,9,7,11
211337,D ,12,14,18,13,13,14,14
211082,D ,11,10,21,17,17,19,18
211085,D ,11,11,11,11,11,12,9
211346,D ,7,8,8,8,7,8,8
211334,D ,7,7,7,8,7,8,7
211169,D ,7,7,7,7,7,7,9
211010,D ,7,7,8,7,7,9,8
211024,D ,8,8,8,9,7,8,8
211206,D ,7,8,8,8,7,13,9
211282,D ,8,9,7,8,11,10,11
211305,D ,8,7,8,7,8,9,10
211216,D ,7,10,12,16,11,15,12
211233,D ,7,8,8,7,7,10,9
211155,D ,8,9,11,15,12,14,14
211028,D ,7,9,10,7,9,9,10
211310,D ,11,13,13,15,14,17,13
211162,D ,9,8,11,7,8,11,10
211208,D ,14,16,18,17,17,19,17
211225,D ,7,7,11,7,7,10,9
211083,D ,8,10,11,8,9,11,11
211127,D ,13,14,19,17,16,19,17
211181,D ,7,9,8,7,8,7,9
211126,D ,7,8,10,12,11,10,12
211252,D ,7,11,17,18,21,16,17
211193,D ,7,7,8,7,7,8,7
211237,D ,7,9,14,13,9,11,11
211156,D ,16,9,19,16,12,9,14
211140,D ,7,7,7,7,7,7,9
211272,D ,11,12,11,11,11,7,11
211040,D ,7,7,7,8,7,8,9
211192,D ,7,7,7,7,7,7,7
211130,D ,7,7,7,8,7,8,12
211189,D ,7,8,10,10,7,7,8
211201,D ,7,7,7,7,7,7,7
211227,D ,8,9,10,8,7,9,8
211157,D ,9,10,11,10,9,9,9
211213,D ,19,21,21,25,21,21,19
211106,D ,8,8,11,14,9,8,9
211167,D ,7,8,8,7,7,7,7
211159,D ,9,10,10,9,11,11,10
211287,D ,9,7,10,7,7,7,7
211084,D ,7,7,11,13,7,11,8
211045,D ,7,7,8,8,8,8,7
211061,D ,10,12,15,15,14,15,13
211042,D ,7,7,8,7,9,7,7
211056,D ,7,8,8,7,10,8,7
211080,D ,14,14,15,15,15,12,13
211211,D ,8,16,18,17,10,12,14
211261,D ,7,10,11,7,8,13,10
211327,D ,7,8,10,7,7,8,7
211278,D ,7,7,7,8,7,7,7
211029,D ,7,7,10,7,7,9,7
211147,D ,8,10,7,9,8,8,7
211125,D ,7,8,7,7,7,8,9
211331,D ,7,7,8,7,8,12,7
211317,D ,7,8,8,7,7,7,7
211081,D ,7,7,8,7,,7,7
211012,D ,9,12,16,14,,14,14
211257,D ,7,8,9,7,,7,7
211016,D ,8,7,8,9,,8,8
211262,D ,7,7,8,7,,9,8
211214,D ,10,10,10,10,,10,8
211263,D ,7,7,7,7,,9,9
211244,D ,7,8,7,7,,7,11
211286,D ,7,9,16,7,,7,7
211074,D ,8,7,11,7,,9,8
211258,D ,7,7,7,7,,8,9
211251,D ,7,11,7,7,,7,8
211209,D ,8,8,15,10,,8,7
211212,D ,6,7,7,7,,7,10
211300,D ,7,8,8,7,,7,7
211228,D ,8,8,9,7,,7,7
211110,D ,7,16,7,7,,7,8
211202,D ,11,7,23,18,,18,20
211114,D ,7,7,7,7,,7,7
211079,D ,11,10,11,10,,12,12
211119,D ,7,7,9,7,,11,12
211007,D ,7,7,7,7,,10,10
211113,D ,9,8,16,10,,8,10
211171,D ,7,7,7,7,,8,9
211117,D ,7,10,9,7,,9,8
211241,D ,7,7,7,7,,7,8
211248,D ,7,7,7,7,,11,11
211324,D ,9,10,12,12,,8,11
211071,D ,8,8,9,8,,7,8
211072,D ,7,7,8,9,,10,12
211101,D ,9,10,10,10,,9,11
211182,D ,11,10,10,9,,7,8
