[Header],,,
FileVersion,1,,
LibraryPrepKit,Nextera XT,,
ContainerType,Plate96,,
ContainerID,,,
Notes,,,
,,,
,,,
[Data],,,
SampleID,NucleicAcid,Index1Name,Index2Name
4348G,DNA amplicon,N727,S218
4348H,DNA amplicon,N727,S520
3659A,DNA amplicon,N701,S510
3659B,DNA amplicon,N701,S511
3659C,DNA amplicon,N701,S513
3659D,DNA amplicon,N701,S515
3659E,DNA amplicon,N701,S516
3659F,DNA amplicon,N701,S517
3659G,DNA amplicon,N701,S218
3659H,DNA amplicon,N701,S520
4173A,DNA amplicon,N702,S510
4173B,DNA amplicon,N702,S511
4173C,DNA amplicon,N702,S513
4173D,DNA amplicon,N702,S515
3608A,DNA amplicon,N703,S510
3608B,DNA amplicon,N703,S511
3608C,DNA amplicon,N703,S513
3608D,DNA amplicon,N703,S515
3608E,DNA amplicon,N703,S516
3608F,DNA amplicon,N703,S517
3608G,DNA amplicon,N703,S218
3608H,DNA amplicon,N703,S520
3548A,DNA amplicon,N704,S510
3548B,DNA amplicon,N704,S511
3548C,DNA amplicon,N704,S513
3548D,DNA amplicon,N704,S515
3548E,DNA amplicon,N704,S516
3548F,DNA amplicon,N704,S517
3548G,DNA amplicon,N704,S218
3548H,DNA amplicon,N704,S520
4022A,DNA amplicon,N705,S510
4022B,DNA amplicon,N705,S511
4022C,DNA amplicon,N705,S513
4022D,DNA amplicon,N705,S515
4022E,DNA amplicon,N705,S516
4022G,DNA amplicon,N705,S218
4022H,DNA amplicon,N705,S520
3641A,DNA amplicon,N706,S510
3641B,DNA amplicon,N706,S511
3641C,DNA amplicon,N706,S513
3641E,DNA amplicon,N706,S516
3641F,DNA amplicon,N706,S517
3641G,DNA amplicon,N706,S218
3641H,DNA amplicon,N706,S520
3652A,DNA amplicon,N707,S510
3652B,DNA amplicon,N707,S511
3652C,DNA amplicon,N707,S513
3652D,DNA amplicon,N707,S515
3652E,DNA amplicon,N707,S516
3652F,DNA amplicon,N707,S517
3652G,DNA amplicon,N707,S218
3652H,DNA amplicon,N707,S520
3604A,DNA amplicon,N708,S510
3604B,DNA amplicon,N708,S511
3604C,DNA amplicon,N708,S513
3604D,DNA amplicon,N708,S515
3604E,DNA amplicon,N708,S516
3604F,DNA amplicon,N708,S517
3604G,DNA amplicon,N708,S218
3604H,DNA amplicon,N708,S520
4244A,DNA amplicon,N709,S510
4244B,DNA amplicon,N709,S511
4244C,DNA amplicon,N709,S513
4244D,DNA amplicon,N709,S515
4234A,DNA amplicon,N710,S510
4234B,DNA amplicon,N710,S511
4234C,DNA amplicon,N710,S513
4234D,DNA amplicon,N710,S515
4234E,DNA amplicon,N710,S516
4234F,DNA amplicon,N710,S517
4234G,DNA amplicon,N710,S218
4234H,DNA amplicon,N710,S520
4202A,DNA amplicon,N711,S510
4202B,DNA amplicon,N711,S511
4202C,DNA amplicon,N711,S513
4202D,DNA amplicon,N711,S515
4202E,DNA amplicon,N711,S516
4202F,DNA amplicon,N711,S517
4202G,DNA amplicon,N711,S218
4202H,DNA amplicon,N711,S520
4377A,DNA amplicon,N712,S510
4377B,DNA amplicon,N712,S511
4377C,DNA amplicon,N712,S513
4377D,DNA amplicon,N712,S515
4377E,DNA amplicon,N712,S516
4377F,DNA amplicon,N712,S517
4377G,DNA amplicon,N712,S218
4377H,DNA amplicon,N712,S520
4201A,DNA amplicon,N714,S510
4201B,DNA amplicon,N714,S511
4201C,DNA amplicon,N714,S513
4201D,DNA amplicon,N714,S515
4201E,DNA amplicon,N714,S516
4201F,DNA amplicon,N714,S517
4201G,DNA amplicon,N714,S218
4201H,DNA amplicon,N714,S520
3886A,DNA amplicon,N715,S501
3886B,DNA amplicon,N715,S502
3886C,DNA amplicon,N715,S503
3886D,DNA amplicon,N715,S504
3886E,DNA amplicon,N715,S505
3886F,DNA amplicon,N715,S506
3886G,DNA amplicon,N715,S507
3886H,DNA amplicon,N715,S508
3875A,DNA amplicon,N716,S501
3875B,DNA amplicon,N716,S502
3875C,DNA amplicon,N716,S503
3875D,DNA amplicon,N716,S504
3875E,DNA amplicon,N716,S505
3875F,DNA amplicon,N716,S506
3875G,DNA amplicon,N716,S507
3875H,DNA amplicon,N716,S508
3909A,DNA amplicon,N718,S501
3909B,DNA amplicon,N718,S502
3909C,DNA amplicon,N718,S503
3909D,DNA amplicon,N718,S504
3909E,DNA amplicon,N718,S505
3909F,DNA amplicon,N718,S506
3909G,DNA amplicon,N718,S507
3909H,DNA amplicon,N718,S508
3866A,DNA amplicon,N719,S501
3866B,DNA amplicon,N719,S502
3866C,DNA amplicon,N719,S503
3866D,DNA amplicon,N719,S504
3866E,DNA amplicon,N719,S505
3866F,DNA amplicon,N719,S506
3866G,DNA amplicon,N719,S507
3866H,DNA amplicon,N719,S508
3870A,DNA amplicon,N720,S501
3870B,DNA amplicon,N720,S502
3870C,DNA amplicon,N720,S503
3870D,DNA amplicon,N720,S504
3870E,DNA amplicon,N720,S505
3870F,DNA amplicon,N720,S506
3870G,DNA amplicon,N720,S507
3870H,DNA amplicon,N720,S508
3892A,DNA amplicon,N721,S501
3892B,DNA amplicon,N721,S502
3892C,DNA amplicon,N721,S503
3892D,DNA amplicon,N721,S504
3892E,DNA amplicon,N721,S505
3892F,DNA amplicon,N721,S506
3892G,DNA amplicon,N721,S507
3892H,DNA amplicon,N721,S508
3910A,DNA amplicon,N722,S501
3910B,DNA amplicon,N722,S502
3910C,DNA amplicon,N722,S503
3910D,DNA amplicon,N722,S504
3910E,DNA amplicon,N722,S505
3910G,DNA amplicon,N722,S507
3910H,DNA amplicon,N722,S508
3811A,DNA amplicon,N723,S501
3811B,DNA amplicon,N723,S502
3811C,DNA amplicon,N723,S503
3811D,DNA amplicon,N723,S504
3811E,DNA amplicon,N723,S505
3811F,DNA amplicon,N723,S506
3811G,DNA amplicon,N723,S507
3811H,DNA amplicon,N723,S508
3765A,DNA amplicon,N724,S501
3765B,DNA amplicon,N724,S502
3765C,DNA amplicon,N724,S503
3765D,DNA amplicon,N724,S504
3765E,DNA amplicon,N724,S505
3765G,DNA amplicon,N724,S507
3765H,DNA amplicon,N701,S501
3864A,DNA amplicon,N701,S502
3864B,DNA amplicon,N701,S503
3864C,DNA amplicon,N701,S504
3864D,DNA amplicon,N701,S505
3864F,DNA amplicon,N701,S507
3864G,DNA amplicon,N701,S508
