newfile,taxonomy
4201b_PP.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
4201a_PP.scf,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__hawkerae
4181f_QP.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;NA;NA;NA
4181a_QP.scf,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
4173h_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4173g_QP.scf,k__Fungi;p__Basidiomycota;NA;NA;NA;NA;NA
4173e_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4173c_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4173b_QP.scf,"NA;NA;NA;NA;NA;NA;NA"
4173a_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4128g_QP.scf,k__Fungi;NA;NA;NA;NA;NA;NA
4126d_QP.scf,"NA;NA;NA;NA;NA;NA;NA"
4022g_QP.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3892e_PQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__lusitanica
3886h_PQ.scf,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;NA
3678h_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3678g_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3678e_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA
3659g_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;NA;NA
3659f_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__candidum
3659e_QQ.scf,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;NA
