seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,notes,date,branching,alive,seedling_sp,soil_type,neighbor,pot,neighb_sp,neighb_st,neighb_alive
4321,5.8,2.49,NA,5,NA,2021-12-01,NA,1,P,P,4035,211189,Q,P,1
4035,7.9,3.81,8,NA,NA,2021-12-01,NA,1,Q,P,4321,211189,P,P,1
4055,7.5,5.24,17,NA,NA,2021-12-01,NA,1,Q,P,3853,211154,P,Q,1
3853,5.4,2.41,NA,4,NA,2021-12-01,NA,1,P,Q,4055,211154,Q,P,1
3757,5.8,2.33,NA,4,NA,2021-12-01,NA,1,P,Q,4271,211133,P,P,0
4271,5,1.62,NA,4,NA,2021-12-01,NA,1,P,P,3757,211133,P,Q,0
3518,18,4.88,12,NA,NA,2021-12-01,NA,1,Q,Q,3113,211127,Q,C,1
3113,7,4.51,8,NA,NA,2021-12-01,NA,1,Q,C,3518,211127,Q,Q,1
4273,3.6,1.68,NA,4,NA,2021-12-01,NA,1,P,P,3423,211157,P,C,1
3423,3.4,1.78,NA,4,NA,2021-12-01,NA,1,P,C,4273,211157,P,P,1
3580,4.1,4.17,6,NA,NA,2021-12-01,NA,1,Q,Q,4027,211162,Q,P,1
4027,5.2,4.61,14,NA,NA,2021-12-01,NA,1,Q,P,3580,211162,Q,Q,1
4227,7.3,2.55,NA,5,NA,2021-12-01,NA,1,P,P,4399,211279,P,P,1
4399,4.8,2.19,NA,4,NA,2021-12-01,NA,1,P,P,4227,211279,P,P,1
3119,9.6,3.56,15,NA,NA,2021-12-01,NA,1,Q,C,3108,211159,Q,C,1
3108,7.8,3.86,7,NA,NA,2021-12-01,NA,1,Q,C,3119,211159,Q,C,1
3489,27,4.13,9,NA,NA,2021-12-01,NA,1,Q,Q,3511,211163,Q,Q,1
3511,6.3,4.28,7,NA,NA,2021-12-01,NA,1,Q,Q,3489,211163,Q,Q,1
3938,4.6,2.42,NA,4,NA,2021-12-01,NA,1,P,Q,3896,211145,P,Q,0
3896,4.9,2.33,NA,3,NA,2021-12-01,NA,1,P,Q,3938,211145,P,Q,1
4132,10.7,6.55,12,NA,NA,2021-12-01,NA,1,Q,P,4282,211161,P,P,1
4282,6.1,2.87,NA,4,NA,2021-12-01,NA,1,P,P,4132,211161,Q,P,1
4258,6.2,3.03,NA,4,NA,2021-12-01,NA,1,P,P,3521,211126,Q,Q,1
3521,13.4,5.09,16,NA,NA,2021-12-01,NA,1,Q,Q,4258,211126,P,P,0
4251,5.2,2.86,NA,4,NA,2021-12-01,NA,1,P,P,3241,211135,P,C,0
3241,3.9,2.14,NA,3,NA,2021-12-01,NA,1,P,C,4251,211135,P,P,1
3724,4.5,3.38,NA,4,NA,2021-12-01,NA,1,P,Q,3742,211201,P,Q,1
3742,3.5,1.93,NA,5,NA,2021-12-01,NA,1,P,Q,3724,211201,P,Q,1
3414,4.2,2.14,NA,2,NA,2021-12-01,NA,1,P,C,4336,211160,P,P,0
4336,4.4,2.76,NA,3,NA,2021-12-01,NA,1,P,P,3414,211160,P,C,0
3505,10.7,4.07,9,NA,NA,2021-12-01,NA,1,Q,Q,3496,211132,Q,Q,1
3496,11,4.02,4,NA,NA,2021-12-01,NA,1,Q,Q,3505,211132,Q,Q,0
4221,5.8,2.76,NA,4,NA,2021-12-01,NA,1,P,P,3549,211215,Q,Q,1
3549,10.3,3.56,10,NA,NA,2021-12-01,NA,1,Q,Q,4221,211215,P,P,1
3327,2.7,1.72,NA,2,NA,2021-12-01,NA,1,P,C,4311,211207,P,P,0
4311,5.6,2.8,NA,4,NA,2021-12-01,NA,1,P,P,3327,211207,P,C,0
3568,16.9,4.43,9,NA,NA,2021-12-01,NA,1,Q,Q,3842,211152,P,Q,0
3842,4.1,3.25,NA,4,NA,2021-12-01,NA,1,P,Q,3568,211152,Q,Q,1
3741,6.5,2.32,NA,5,NA,2021-12-01,NA,1,P,Q,3493,211106,Q,Q,1
3493,12,3.25,6,NA,NA,2021-12-01,NA,1,Q,Q,3741,211106,P,Q,1
4410,6.3,2.76,NA,4,NA,2021-12-01,NA,1,P,P,3261,211149,P,C,1
3261,3.2,2.17,NA,4,NA,2021-12-01,NA,1,P,C,4410,211149,P,P,1
4297,5,2.48,NA,4,NA,2021-12-01,NA,1,P,P,3128,211211,Q,C,1
3128,4.7,4.29,8,NA,NA,2021-12-01,NA,1,Q,C,4297,211211,P,P,1
3845,5.2,2.71,NA,5,NA,2021-12-01,NA,1,P,Q,3484,211241,Q,Q,0
3484,10.4,3.53,13,NA,NA,2021-12-01,NA,1,Q,Q,3845,211241,P,Q,1
3265,4.3,1.86,NA,2,NA,2021-12-01,NA,1,P,C,4344,211208,P,P,0
4344,3.6,2.71,NA,2,NA,2021-12-01,NA,1,P,P,3265,211208,P,C,0
4029,5.3,2.97,8,NA,NA,2021-12-01,NA,1,Q,P,4056,211153,Q,P,1
4056,6.9,5.42,8,NA,NA,2021-12-01,NA,1,Q,P,4029,211153,Q,P,1
3563,5.6,2.84,7,NA,NA,2021-12-01,NA,1,Q,Q,4152,211182,Q,P,1
4152,8.4,3.3,19,NA,NA,2021-12-01,NA,1,Q,P,3563,211182,Q,Q,1
3517,8.2,3.56,8,NA,NA,2021-12-01,NA,1,Q,Q,4323,211193,P,P,1
4323,7.6,3.35,NA,4,NA,2021-12-01,NA,1,P,P,3517,211193,Q,Q,1
4419,5.1,2.25,NA,4,NA,2021-12-01,NA,1,P,P,4047,211197,Q,P,1
4047,10.6,4.49,11,NA,NA,2021-12-01,NA,1,Q,P,4419,211197,P,P,0
3531,7.4,4.14,11,NA,NA,2021-12-01,NA,1,Q,Q,4146,211210,Q,P,1
4146,12.9,4.56,13,NA,NA,2021-12-01,NA,1,Q,P,3531,211210,Q,Q,1
3120,9.8,3.9,5,NA,NA,2021-12-01,NA,1,Q,C,3664,211213,Q,Q,1
3664,10.2,4.24,17,NA,NA,2021-12-01,NA,1,Q,Q,3120,211213,Q,C,1
3862,4,1.89,NA,5,NA,2021-12-01,NA,1,P,Q,3415,211158,P,C,0
3415,3.8,1.77,NA,4,NA,2021-12-01,NA,1,P,C,3862,211158,P,Q,1
4105,8.8,3.53,11,NA,NA,2021-12-01,NA,1,Q,P,4380,211301,P,P,1
4380,4.5,2.89,NA,4,NA,2021-12-01,NA,1,P,P,4105,211301,Q,P,1
4329,5.1,2.2,NA,4,NA,2021-12-01,NA,1,P,P,3576,211234,Q,Q,1
3576,10,4.1,10,NA,NA,2021-12-01,NA,1,Q,Q,4329,211234,P,P,0
3804,3.5,1.74,NA,4,NA,2021-12-01,NA,1,P,Q,4401,211278,P,P,1
4401,3.4,2.42,NA,5,NA,2021-12-01,NA,1,P,P,3804,211278,P,Q,1
3599,9.2,5.02,14,NA,NA,2021-12-01,NA,1,Q,Q,3640,211246,Q,Q,1
3640,11.2,4.84,21,NA,NA,2021-12-01,NA,1,Q,Q,3599,211246,Q,Q,1
3880,5.1,2.06,NA,4,NA,2021-12-01,NA,1,P,Q,4127,211209,Q,P,1
4127,22.5,5,16,NA,NA,2021-12-01,NA,1,Q,P,3880,211209,P,Q,0
3328,3.2,1.74,NA,1,"near dead, some new needles",2021-12-01,NA,1,P,C,3727,211235,P,Q,NA
3727,5,3.2,NA,4,NA,2021-12-01,NA,1,P,Q,3328,211235,P,C,NA
3629,11,5.09,7,NA,NA,2021-12-01,NA,1,Q,Q,3626,211184,Q,Q,1
3626,6,3.25,9,NA,NA,2021-12-01,NA,1,Q,Q,3629,211184,Q,Q,1
3433,3.1,2.05,NA,3,NA,2021-12-01,NA,1,P,C,3474,211185,P,C,0
3474,3.5,1.52,NA,1,dead,2021-12-01,NA,1,P,C,3433,211185,P,C,0
4396,6.9,2.56,NA,5,NA,2021-12-01,NA,1,P,P,3377,211280,P,C,1
3377,3.5,2.1,NA,4,NA,2021-12-01,NA,1,P,C,4396,211280,P,P,1
4330,5.8,2.62,NA,4,NA,2021-12-01,NA,1,P,P,4019,211212,Q,P,0
4019,11.6,5.09,11,NA,NA,2021-12-01,NA,1,Q,P,4330,211212,P,P,0
3834,5.5,2.75,NA,5,NA,2021-12-01,NA,1,P,Q,4397,211217,P,P,1
4397,5.1,2.58,NA,4,NA,2021-12-01,NA,1,P,P,3834,211217,P,Q,0
4063,5.7,3.6,20,NA,NA,2021-12-01,NA,1,Q,P,4379,211224,P,P,1
4379,5.8,2.51,NA,4,NA,2021-12-01,NA,1,P,P,4063,211224,Q,P,1
3817,4.6,1.83,NA,4,NA,2021-12-01,NA,1,P,Q,3849,211151,P,Q,1
3849,4.9,2.23,NA,5,NA,2021-12-01,NA,1,P,Q,3817,211151,P,Q,1
3859,4.9,2.75,NA,4,NA,2021-12-01,NA,1,P,Q,4046,211155,Q,P,1
4046,6.9,3.06,7,NA,NA,2021-12-01,NA,1,Q,P,3859,211155,P,Q,1
3583,6.5,3.66,8,NA,NA,2021-12-01,NA,1,Q,Q,4343,211156,P,P,1
4343,6,2.08,NA,4,NA,2021-12-01,NA,1,P,P,3583,211156,Q,Q,1
3334,2.1,2.15,NA,2,NA,2021-12-01,NA,1,P,C,3331,211214,P,C,0
3331,2.9,1.51,NA,1,NA,2021-12-01,NA,1,P,C,3334,211214,P,C,0
3731,4.8,2.89,NA,4,NA,2021-12-01,NA,1,P,Q,3766,211321,P,Q,0
3766,4.1,2.23,NA,5,NA,2021-12-01,NA,1,P,Q,3731,211321,P,Q,1
4120,17.3,3.09,15,NA,NA,2021-12-01,NA,1,Q,P,4042,211227,Q,P,1
4042,11,3.8,6,NA,NA,2021-12-01,NA,1,Q,P,4120,211227,Q,P,1
3358,4,1.78,NA,3,NA,2021-12-01,NA,1,P,C,3379,211324,P,C,0
3379,4.5,2.4,NA,3,NA,2021-12-01,NA,1,P,C,3358,211324,P,C,0
4310,6,2.09,NA,3,NA,2021-12-01,NA,1,P,P,4305,211276,P,P,1
4305,4.7,2.3,NA,4,NA,2021-12-01,NA,1,P,P,4310,211276,P,P,0
3613,13.5,3.7,13,NA,NA,2021-12-01,NA,1,Q,Q,3558,211300,Q,Q,0
3558,10.9,4.76,8,NA,NA,2021-12-01,NA,1,Q,Q,3613,211300,Q,Q,0
4289,2.9,2.3,NA,4,NA,2021-12-01,NA,1,P,P,3337,211272,P,C,1
3337,4.1,1.51,NA,4,NA,2021-12-01,NA,1,P,C,4289,211272,P,P,1
4403,6.5,2.97,NA,4,NA,2021-12-01,NA,1,P,P,3591,211248,Q,Q,1
3591,12.5,3.86,8,NA,NA,2021-12-01,NA,1,Q,Q,4403,211248,P,P,1
3736,5.6,2.62,NA,5,NA,2021-12-01,NA,1,P,Q,3899,211318,P,Q,1
3899,3.7,2.4,NA,5,NA,2021-12-01,NA,1,P,Q,3736,211318,P,Q,1
4309,3.3,2.3,NA,4,NA,2021-12-01,NA,1,P,P,3783,211249,P,Q,1
3783,4,2.49,NA,4,NA,2021-12-01,NA,1,P,Q,4309,211249,P,P,0
4308,6,2.7,NA,4,NA,2021-12-01,NA,1,P,P,4011,211178,Q,P,1
4011,7.2,4.77,20,NA,NA,2021-12-01,NA,1,Q,P,4308,211178,P,P,1
4043,5,3.13,9,NA,NA,2021-12-01,NA,1,Q,P,4394,211200,P,P,1
4394,3.4,2.73,NA,4,NA,2021-12-01,NA,1,P,P,4043,211200,Q,P,0
4387,5.2,2.26,NA,3,NA,2021-12-01,NA,1,P,P,4353,211297,P,P,0
4353,4.3,2.02,NA,4,NA,2021-12-01,NA,1,P,P,4387,211297,P,P,0
3545,15,5.17,9,NA,NA,2021-12-01,NA,1,Q,Q,3184,211226,Q,C,0
3184,5.8,4.27,8,NA,NA,2021-12-01,NA,1,Q,C,3545,211226,Q,Q,0
4307,4.3,3.1,NA,5,NA,2021-12-01,NA,1,P,P,3387,211247,P,C,1
3387,5,1.92,NA,4,NA,2021-12-01,NA,1,P,C,4307,211247,P,P,1
3361,4,2.16,NA,4,NA,2021-12-01,NA,1,P,C,4436,211313,P,P,1
3133,12.5,4.37,10,NA,all brown,2021-12-01,NA,1,Q,C,4143,211176,Q,P,NA
4143,11,3.03,9,NA,NA,2021-12-01,NA,1,Q,P,3133,211176,Q,C,NA
3897,4.6,3.29,NA,4,NA,2021-12-01,NA,1,P,Q,3378,211308,P,C,1
3378,4.8,2.11,NA,4,NA,2021-12-01,NA,1,P,C,3897,211308,P,Q,0
3746,4.6,2.61,NA,4,NA,2021-12-01,NA,1,P,Q,3623,211306,Q,Q,1
3623,9.1,4.2,10,NA,NA,2021-12-01,NA,1,Q,Q,3746,211306,P,Q,1
3998,6.3,2.97,16,NA,NA,2021-12-01,NA,1,Q,P,4424,211314,P,P,0
4424,3.7,2.27,NA,2,NA,2021-12-01,NA,1,P,P,3998,211314,Q,P,0
3434,3.9,2.16,NA,4,NA,2021-12-01,NA,1,P,C,3900,211346,P,Q,1
3900,3.4,2.03,NA,5,NA,2021-12-01,NA,1,P,Q,3434,211346,P,C,0
4062,21.2,4.4,20,NA,NA,2021-12-01,NA,1,Q,P,3148,211302,Q,C,1
3148,24.3,4.66,11,NA,NA,2021-12-01,NA,1,Q,C,4062,211302,Q,P,0
3535,8.6,3.36,13,NA,NA,2021-12-01,NA,1,Q,Q,3167,211312,Q,C,1
3167,17.5,4,12,NA,NA,2021-12-01,NA,1,Q,C,3535,211312,Q,Q,1
3606,15.1,6.01,13,NA,NA,2021-12-01,NA,1,Q,Q,3609,211347,Q,Q,1
3609,24,4.7,17,NA,NA,2021-12-01,NA,1,Q,Q,3606,211347,Q,Q,1
3130,7.9,5.08,12,NA,NA,2021-12-01,NA,1,Q,C,3016,211194,Q,C,1
3016,6.1,3.71,9,4,NA,2021-12-01,NA,1,Q,C,3130,211194,Q,C,1
3369,3.9,2.16,NA,4,NA,2021-12-01,NA,1,P,C,3740,211316,P,Q,0
3740,6.1,2.66,NA,NA,NA,2021-12-01,NA,1,P,Q,3369,211316,P,C,0
4122,11.9,4.97,12,NA,NA,2021-12-01,NA,1,Q,P,3737,211328,P,Q,0
3737,5.2,1.99,NA,5,NA,2021-12-01,NA,1,P,Q,4122,211328,Q,P,0
3894,5.3,3.07,NA,3,NA,2021-12-01,NA,1,P,Q,4123,211330,Q,P,1
4123,6.9,4.6,7,NA,NA,2021-12-01,NA,1,Q,P,3894,211330,P,Q,0
3616,10.4,3.91,19,NA,NA,2021-12-01,NA,1,Q,Q,3840,211218,P,Q,1
3840,9.5,4.54,NA,5,NA,2021-12-01,NA,1,P,Q,3616,211218,Q,Q,1
3833,7.1,3.38,NA,5,NA,2021-12-01,NA,1,P,Q,3278,211219,P,C,1
3278,3.9,2.52,NA,2,NA,2021-12-01,NA,1,P,C,3833,211219,P,Q,1
3550,9.5,4.41,19,NA,NA,2021-12-01,NA,1,Q,Q,3181,211336,Q,C,1
3181,11.6,4.7,7,NA,NA,2021-12-01,NA,1,Q,C,3550,211336,Q,Q,1
3562,7.8,2.78,22,NA,NA,2021-12-01,NA,1,Q,Q,3570,211331,Q,Q,1
3570,12.6,4.15,41,NA,NA,2021-12-01,NA,1,Q,Q,3562,211331,Q,Q,0
4209,4,2.71,10,NA,NA,2021-12-01,NA,1,P,P,4086,211332,Q,P,1
4086,10.2,4.52,NA,4,NA,2021-12-01,NA,1,Q,P,4209,211332,P,P,0
3771,6.5,3.51,NA,3,NA,2021-12-01,NA,1,P,Q,3697,211085,Q,Q,1
3697,16.4,4.64,9,NA,NA,2021-12-01,NA,1,Q,Q,3771,211085,P,Q,0
3268,3,1.82,NA,2,NA,2021-12-01,NA,1,P,C,3386,211033,P,C,0
3386,3.8,2.8,NA,1,NA,2021-12-01,NA,1,P,C,3268,211033,P,C,0
3709,10,4.52,16,NA,NA,2021-12-01,NA,1,Q,Q,3708,211082,Q,Q,1
3708,14.4,4.55,11,NA,NA,2021-12-01,NA,1,Q,Q,3709,211082,Q,Q,1
4242,7,3.17,NA,4,NA,2021-12-01,NA,1,P,P,3803,211067,P,Q,1
3803,7,2.66,NA,4,NA,2021-12-01,NA,1,P,Q,4242,211067,P,P,1
4325,6.6,3.74,NA,5,NA,2021-12-01,NA,1,P,P,3781,211020,P,Q,1
3781,6.8,3.53,NA,5,NA,2021-12-01,NA,1,P,Q,4325,211020,P,P,1
3992,6.6,3.95,16,NA,NA,2021-12-01,NA,1,Q,P,4008,211008,Q,P,1
4008,6.5,3.31,11,NA,NA,2021-12-01,NA,1,Q,P,3992,211008,Q,P,1
3704,6.8,4.76,16,NA,NA,2021-12-01,NA,1,Q,Q,4170,211029,Q,P,1
4170,4.6,3.09,10,NA,NA,2021-12-01,NA,1,Q,P,3704,211029,Q,Q,1
3044,6.4,2.78,4,NA,NA,2021-12-01,NA,1,Q,C,3045,211037,Q,C,1
3045,9.3,3.41,6,NA,NA,2021-12-01,NA,1,Q,C,3044,211037,Q,C,1
3554,8.6,3.72,14,NA,NA,2021-12-01,NA,1,Q,Q,3018,211220,Q,C,0
3018,5.5,3.68,7,NA,NA,2021-12-01,NA,1,Q,C,3554,211220,Q,Q,1
3991,8.8,3.64,22,NA,NA,2021-12-01,NA,1,Q,P,4256,211001,P,P,0
4256,4.5,2.9,NA,3,NA,2021-12-01,NA,1,P,P,3991,211001,Q,P,1
4230,7.8,2.49,NA,4,NA,2021-12-01,NA,1,P,P,3701,211081,Q,Q,0
3701,13.2,5.15,14,NA,NA,2021-12-01,NA,1,Q,Q,4230,211081,P,P,0
3776,3.8,2.28,NA,2,NA,2021-12-01,NA,1,P,Q,3273,211030,P,C,0
3273,4.4,1.9,NA,1,NA,2021-12-01,NA,1,P,C,3776,211030,P,Q,1
3197,29.5,4.49,15,NA,NA,2021-12-01,NA,1,Q,C,4044,211333,Q,P,1
4044,16,4.58,10,NA,NA,2021-12-01,NA,1,Q,P,3197,211333,Q,C,0
3932,4,2.99,NA,4,NA,2021-12-01,NA,1,P,Q,3569,211068,Q,Q,1
3569,12,4.59,16,NA,NA,2021-12-01,NA,1,Q,Q,3932,211068,P,Q,1
3011,10,4.99,9,NA,NA,2021-12-01,NA,1,Q,C,3027,211047,Q,C,1
3027,8.1,4.2,12,NA,NA,2021-12-01,NA,1,Q,C,3011,211047,Q,C,1
4237,6,2.74,NA,5,NA,2021-12-01,NA,1,P,P,4175,211024,Q,P,1
4175,8.9,5.07,22,NA,NA,2021-12-01,NA,1,Q,P,4237,211024,P,P,1
3764,5.7,2.47,NA,4,NA,2021-12-01,NA,1,P,Q,3382,211334,P,C,1
3382,2.6,1.95,NA,2,NA,2021-12-01,NA,1,P,C,3764,211334,P,Q,0
4408,4.9,2.47,NA,5,NA,2021-12-01,NA,1,P,P,4322,211173,P,P,1
4322,4.5,2.32,NA,4,NA,2021-12-01,NA,1,P,P,4408,211173,P,P,1
4265,6.9,2.85,NA,3,NA,2021-12-01,NA,1,P,P,3650,211062,Q,Q,1
3650,6.5,2.57,8,NA,NA,2021-12-01,NA,1,Q,Q,4265,211062,P,P,1
4332,6.7,2.62,NA,2,NA,2021-12-01,NA,1,P,P,4066,211005,Q,P,1
4066,9.4,4.12,22,NA,NA,2021-12-01,NA,1,Q,P,4332,211005,P,P,1
3974,9.9,4.28,8,NA,NA,2021-12-01,NA,1,Q,P,3001,211049,Q,C,1
3001,6.5,3.3,10,NA,NA,2021-12-01,NA,1,Q,C,3974,211049,Q,P,1
3077,5.2,4.09,9,NA,NA,2021-12-01,NA,1,Q,C,3611,211236,Q,Q,1
3611,9.3,3.35,12,NA,NA,2021-12-01,NA,1,Q,Q,3077,211236,Q,C,1
4096,9.5,2.71,7,NA,NA,2021-12-01,NA,1,Q,P,3109,211069,Q,C,1
3109,3,4.36,3,NA,NA,2021-12-01,NA,1,Q,C,4096,211069,Q,P,1
3488,4.5,3.67,6,NA,NA,2021-12-01,NA,1,Q,Q,4091,211107,Q,P,1
4091,5.9,3.78,8,NA,NA,2021-12-01,NA,1,Q,P,3488,211107,Q,Q,1
4031,8,3.07,8,NA,NA,2021-12-01,NA,1,Q,P,4071,211253,Q,P,1
4071,13.1,4.46,15,NA,NA,2021-12-01,NA,1,Q,P,4031,211253,Q,P,0
3385,5.3,2.81,NA,2,NA,2021-12-01,NA,1,P,C,3793,211017,P,Q,1
3793,6.5,3.05,NA,3,NA,2021-12-01,NA,1,P,Q,3385,211017,P,C,1
3780,7.5,2.85,NA,4,NA,2021-12-01,NA,1,P,Q,3502,211044,Q,Q,1
3502,8.6,5.25,11,NA,NA,2021-12-01,NA,1,Q,Q,3780,211044,P,Q,1
3646,9.4,3.93,10,NA,NA,2021-12-01,NA,1,Q,Q,3643,211169,Q,Q,0
3643,7.7,2.48,5,NA,NA,2021-12-01,NA,1,Q,Q,3646,211169,Q,Q,0
3048,5.8,4.07,8,NA,NA,2021-12-01,NA,1,Q,C,3525,211174,Q,Q,1
3525,6.6,3.2,5,NA,NA,2021-12-01,NA,1,Q,Q,3048,211174,Q,C,1
3183,11.3,3.73,15,NA,NA,2021-12-01,NA,1,Q,C,3574,211303,Q,Q,1
3574,9.9,4,7,NA,NA,2021-12-01,NA,1,Q,Q,3183,211303,Q,C,1
3191,5.4,4.03,4,NA,NA,2021-12-01,NA,1,Q,C,3151,211304,Q,C,1
3151,10.5,5.69,19,NA,NA,2021-12-01,NA,1,Q,C,3191,211304,Q,C,1
3795,7,2.96,NA,4,NA,2021-12-01,NA,1,P,Q,4274,211010,P,P,1
4274,4.1,3.05,NA,3,NA,2021-12-01,NA,1,P,P,3795,211010,P,Q,1
3827,7.6,3.11,NA,5,NA,2021-12-01,NA,1,P,Q,3612,211206,Q,Q,1
3612,12.5,5.62,15,NA,NA,2021-12-01,NA,1,Q,Q,3827,211206,P,Q,1
3918,4.6,3.51,NA,4,NA,2021-12-01,NA,1,P,Q,3539,211122,Q,Q,1
3539,8.4,4.51,9,NA,NA,2021-12-01,NA,1,Q,Q,3918,211122,P,Q,1
4036,6.5,3.58,11,NA,NA,2021-12-01,NA,1,Q,P,3536,211180,Q,Q,1
3536,10.6,4.15,16,NA,NA,2021-12-01,NA,1,Q,Q,4036,211180,Q,P,1
