Seedling_id,Height_cm,Diameter_mm,Leaf_count,Chlorosis,Branching,Notes
3789,7.2,3.3,,5,12,
3779,9.1,3.7,,5,19,
4033,11.2,5.2,11,,,
4025,13.4,4.8,12,,1.5,
4162,9.6,4.7,11,,,b
4320,6.1,3,,3,14,
4230,12.2,2.7,,0,5,
3701,14.5,4.5,13,,,b
3276,8.5,3.5,,4,21,
4324,7,1.2,,0,2,
3570,15.3,5.3,52,,39,
3562,6.5,4.4,11,,12,b
4429,8.4,2.6,,0,4,
3615,11.2,3.8,5,,,
4028,9.5,5.5,10,,1,b
3955,8.3,3.3,,2,18,
3704,7.8,4.9,7,,2.5,
4170,4,6,9,,3.5,
3601,10.3,3.7,5,,2.5,
3141,17.5,4.2,3,,1.5,
3767,7.8,3.3,,4,14,
3577,6.1,4.5,5,,,
3804,6.9,3,,4,13,
4401,6.2,3.5,,4,18,
4297,7.1,2.9,,3,12,
3128,8,4.4,10,,1,
3002,7.7,5.1,16,,4,
3005,7.7,4.7,11,,3,
3274,4.5,1.7,,0,,
3259,5,2.1,,0,,
3986,12.8,4.6,37,,17,
4417,5.2,2.7,,4,19,
3140,5.5,3.2,9,,1,
3620,12.1,3.8,14,,3,
3033,5.6,4.4,6,,,
4155,10.5,4.4,10,,,
3654,19.6,4.8,28,,,
3026,8.2,3.8,5,,,
3119,10.4,3.5,6,,1.5,
3108,4.6,5.1,1,,,
3237,7.7,4.7,3,,,b
4124,10.2,5.6,7,,3,
3937,6.1,1.7,,0,4.5,
4163,19.6,5.1,18,,12,
4402,4.5,1.7,,0,3,
3522,21.2,4.8,1,,,b
3741,8.9,3,,5,19,
3493,11.6,3.6,7,,,
4120,17.8,4,17,,7,
4042,11.5,5.6,11,,5,
4273,5.8,2.4,,3,2.5,
3423,6,2.5,,2,,
3120,10.9,3.8,1,,,
3664,10.4,4.8,15,,2,
3724,5.8,3,,4,20,
3742,6.9,2.1,,3,1,
4035,10.3,4.7,12,,,
4321,7.4,3.3,,4,11,
4060,7.9,5.8,12,,5,
3124,10.2,3.7,2,,,b
4082,8.5,3.7,15,,2.5,
3769,8.6,3.7,,4,28,
3440,6.1,2.7,,3,10,
3854,4.1,3.7,,1,15.5,
3337,7.1,3,,4,8,
4289,6,2.6,,4,11,
3543,8.2,3.9,13,,1,b
4081,9.9,4.1,8,,,
3583,7.9,5.3,9,,,
4343,7.2,2.1,,1,,
3517,8.1,4.4,6,,,
4323,11.3,3.1,,3,19,
3524,7.3,6.2,24,,7,
4018,7.7,3.5,12,,2,
4109,7.3,4.9,4,,,
3821,4.7,2.3,,0,2.5,
4258,8,2.3,,0,14,
3521,12.8,5.7,11,,,
4404,5.4,3.3,,4,8,
3566,11.9,3.7,26,,6.5,
4085,9.9,7.1,11,,16,
3139,6.1,2.5,4,,,
3518,19,5,8,,,
3113,6,4.9,2,,,
4067,7.5,4.6,15,,11,
4370,10.3,3.4,,4,27,
4344,4.2,1.7,,0,3,
3265,4.1,1.6,,0,,
3580,5.2,6,4,,,
4027,5.5,4.4,10,,1.5,
3271,3.1,1.5,,0,,
4268,7.6,3.5,,4,14,
4136,11.6,4.7,13,,4,b
3755,11.2,3.5,,0,13,
4046,7.6,4.9,7,,1,
3859,7.5,3.1,,4,13,
3556,11.4,5.5,6,,,
3893,7.6,2.9,,4,19,
3056,5.3,3.9,4,,,
3987,11.9,3.4,1,,,b
3573,12.3,3.9,1,,3,
3096,4.8,3.4,4,,,
