seedling_id,pustularia_sp,tuber_sp,rhizopogon_hawkerae,melanogaster_sp,richness
3006,0.3838383838383838,0,0,0,1
3013,0.24812030075187969,0,0,0,1
3026,0.37341772151898733,0,0,0,1
3048,0,0.4537037037037037,0,0,1
3051,0.048507462686567165,0.3395522388059702,0,0,2
3055,0,0,0.08547008547008547,0,1
3056,0.29094827586206895,0,0,0,1
3076,0,0,0.22857142857142856,0,1
3087,0.4727272727272727,0,0,0,1
3095,0.2727272727272727,0,0,0,1
3109,0.21897810218978103,0,0,0,1
3113,0,0.20202020202020202,0,0,1
3139,0.7586206896551724,0,0,0,1
3172,0.18181818181818182,0,0,0,1
3241,0,0,0.12318840579710146,0,1
3245,0,0,0.22277227722772278,0,1
3252,0,0,0.5163934426229508,0,1
3272,0,0,0.6639344262295082,0,1
3275,0,0,0.6319018404907976,0,1
3278,0,0,0.581081081081081,0,1
3335,0,0,0.5629139072847682,0,1
3339,0,0,0.6145833333333334,0,1
3349,0,0,0.20567375886524822,0,1
3356,0,0,0.43846153846153846,0,1
3378,0,0,0.2108843537414966,0,1
3381,0,0,0.26229508196721313,0,1
3382,0,0,0.3597560975609756,0,1
3385,0,0,0.4297520661157025,0,1
3423,0,0,0.7666666666666667,0,1
3434,0,0,0.3559322033898305,0,1
3494,0.3333333333333333,0,0,0,1
3495,0.3900709219858156,0,0,0,1
3496,0,0.2517985611510791,0,0,1
3498,0.23529411764705882,0,0,0,1
3504,0.4032258064516129,0,0,0,1
3509,0.056338028169014086,0,0,0,1
3529,0.14102564102564102,0,0,0,1
3536,0.3652173913043478,0,0,0,1
3539,0,0.4,0,0,1
3542,0.23741007194244604,0,0,0,1
3544,0.13286713286713286,0,0,0,1
3547,0.32,0,0,0,1
3549,0.16203703703703703,0,0,0,1
3551,0,0.5163934426229508,0,0,1
3553,0.20134228187919462,0,0,0,1
3556,0.1440677966101695,0,0,0,1
3559,0.10289634146341464,0.06173780487804878,0,0,2
3562,0,0,0,0.3893129770992366,1
3570,0,0,0,0.5212765957446809,1
3578,0,0.23443223443223443,0.03907203907203907,0,2
3581,0.10919540229885058,0,0,0,1
3584,0.3153846153846154,0,0,0,1
3590,0.4888888888888889,0,0,0,1
3591,0,0.43537414965986393,0,0,1
3593,0.14173228346456693,0,0,0,1
3606,0.2222222222222222,0,0,0,1
3609,0.11666666666666667,0,0,0,1
3617,0.3090909090909091,0,0,0,1
3620,0,0.11267605633802817,0,0,1
3622,0.4177215189873418,0,0,0,1
3623,0.46078431372549017,0,0,0,1
3626,0,0.2523364485981308,0,0,1
3640,0.5008620689655172,0,0,0,1
3653,0.19402985074626866,0,0,0,1
3654,0.48120300751879697,0,0,0,1
3655,0.6216216216216216,0,0,0,1
3662,0.2336448598130841,0,0,0,1
3664,0,0.028465346534653466,0,0,1
3665,0.4143646408839779,0,0,0,1
3679,0.31851851851851853,0,0,0,1
3684,0.6259541984732825,0,0,0,1
3688,0.24271844660194175,0,0,0,1
3700,0.30357142857142855,0,0,0,1
3708,0.51875,0,0,0,1
3711,0.4444444444444444,0,0,0,1
3724,0,0,0.6146788990825688,0,1
3731,0,0,0.5327868852459017,0,1
3732,0,0,0.4563758389261745,0,1
3734,0,0,0.42953020134228187,0,1
3735,0,0,0.6666666666666666,0,1
3741,0,0,0.6363636363636364,0,1
3742,0,0,0.6636363636363637,0,1
3745,0,0,0.7105263157894737,0,1
3748,0,0,0.8709677419354839,0,1
3751,0,0,0.5279503105590062,0,1
3752,0,0,0.4891304347826087,0,1
3756,0,0,0.8181818181818182,0,1
3757,0,0,0.4126984126984127,0,1
3760,0,0,0.6666666666666666,0,1
3764,0,0,0.5838509316770186,0,1
3766,0,0,0.07547169811320754,0,1
3767,0,0,0.6504065040650406,0,1
3769,0,0,0.6524822695035462,0,1
3774,0,0,0.3986013986013986,0,1
3775,0,0,0.225,0,1
3777,0,0,0.5,0,1
3779,0,0,0.6275862068965518,0,1
3781,0,0,0.6060606060606061,0,1
3782,0,0,0.30327868852459017,0,1
3783,0,0,0.5362318840579711,0,1
3785,0,0,0.453551912568306,0,1
3789,0,0,0.7096774193548387,0,1
3793,0,0,0.6356589147286822,0,1
3796,0,0,0.6098484848484849,0,1
3799,0,0,0.29411764705882354,0,1
3801,0,0,0.5775862068965517,0,1
3803,0,0,0.7013358778625954,0,1
3805,0,0,0.366412213740458,0,1
3808,0,0,0.40540540540540543,0,1
3813,0,0,0.4566929133858268,0,1
3824,0,0,0.5433070866141733,0,1
3832,0,0,0.5412844036697247,0,1
3833,0,0,0.5581395348837209,0,1
3852,0.06467661691542288,0,0.06467661691542288,0,2
3858,0,0,0.7163120567375887,0,1
3860,0.020000000000000004,0,0,0,1
3862,0,0,0.2786885245901639,0,1
3873,0,0,0.4676258992805755,0,1
3883,0,0,0.49612403100775193,0,1
3891,0,0,0.47619047619047616,0,1
3893,0,0,0.6853146853146853,0,1
3896,0,0,0.04878048780487805,0,1
3898,0,0,0.45918367346938777,0,1
