seedling_id,pustularia_sp,tuber_sp,rhizopogon_hawkerae,melanogaster_sp,pulled_tips,ecto_tips,prop_assign,prop_colonized
3801,0,0,7,0,8,7,0.875,0.6600985221674877
3803,0,0,7,0,8,7,0.875,0.8015267175572519
3805,0,0,4,0,4,4,1,0.366412213740458
3808,0,0,8,0,8,8,1,0.40540540540540543
3813,0,0,4,0,4,4,1,0.4566929133858268
3824,0,0,4,0,4,4,1,0.5433070866141733
3832,0,0,4,0,4,4,1,0.5412844036697247
3833,0,0,4,0,4,4,1,0.5581395348837209
3852,2,0,2,0,4,4,1,0.12935323383084577
3858,0,0,4,0,4,4,1,0.7163120567375887
3860,1,0,0,0,5,1,0.2,0.1
3862,0,0,3,0,3,3,1,0.2786885245901639
3873,0,0,4,0,4,4,1,0.4676258992805755
3883,0,0,4,0,4,4,1,0.49612403100775193
3891,0,0,4,0,4,4,1,0.47619047619047616
3893,0,0,4,0,4,4,1,0.6853146853146853
3896,0,0,2,0,2,2,1,0.04878048780487805
3898,0,0,4,0,4,4,1,0.45918367346938777
3899,0,0,8,0,8,8,1,0.5802469135802469
3900,0,0,4,0,4,4,1,0.5631067961165048
3905,0,0,8,0,8,8,1,0.4931506849315068
3913,0,0,4,0,4,4,1,0.6222222222222222
3915,0,0,4,0,4,4,1,0.45454545454545453
3918,0,0,4,0,4,4,1,0.3577981651376147
3921,0,0,4,0,4,4,1,0.45454545454545453
3932,0,0,4,0,4,4,1,0.5390070921985816
3933,0,0,5,0,8,5,0.625,0.46733668341708545
3938,2,0,0,0,2,2,1,0.0196078431372549
3946,0,0,4,0,4,4,1,0.3875968992248062
3955,0,0,6,0,6,6,1,0.46226415094339623
3957,0,0,4,0,4,4,1,0.6864406779661016
3958,0,0,8,0,8,8,1,0.5035460992907801
3967,4,0,0,0,4,4,1,0.1676300578034682
3970,4,0,0,0,4,4,1,0.31958762886597936
3982,4,0,0,0,4,4,1,0.427536231884058
3987,4,0,0,0,4,4,1,0.2457627118644068
3994,8,0,0,0,8,8,1,0.5747126436781609
3999,8,0,0,0,8,8,1,0.0660377358490566
4008,4,0,0,0,4,4,1,0.31736526946107785
4010,4,0,0,0,4,4,1,0.6637168141592921
4014,4,0,0,0,4,4,1,0.12605042016806722
4015,4,0,0,0,4,4,1,0.35384615384615387
4020,4,0,0,0,4,4,1,0.16766467065868262
4026,8,0,0,0,8,8,1,0.6756756756756757
4027,4,0,0,0,4,4,1,0.2894736842105263
4036,4,0,0,0,4,4,1,0.4251497005988024
4038,4,0,0,0,4,4,1,0.24305555555555555
4044,4,0,0,0,4,4,1,0.4672131147540984
4046,4,0,0,0,4,4,1,0.46218487394957986
4047,4,0,0,0,4,4,1,0.4157303370786517
4060,4,0,0,0,4,4,1,0.4315068493150685
4061,4,0,0,0,4,4,1,0.20869565217391303
4066,4,0,0,0,4,4,1,0.2
4081,4,0,0,0,4,4,1,0.15454545454545454
4083,4,0,0,0,4,4,1,0.0949367088607595
4085,4,0,0,0,4,4,1,0.40869565217391307
4088,8,0,0,0,8,8,1,0.7151515151515152
4091,3,0,1,0,4,4,1,0.04716981132075472
4092,4,0,0,0,4,4,1,0.4825174825174825
4097,4,0,0,0,4,4,1,0.19827586206896552
4109,4,0,0,0,4,4,1,0.1794871794871795
4132,4,0,0,0,4,4,1,0.28125
4134,4,0,0,0,4,4,1,0.3474576271186441
4139,4,0,0,0,4,4,1,0.0782608695652174
4147,4,0,0,0,4,4,1,0.21641791044776118
4149,4,0,0,0,4,4,1,0.47093023255813954
4151,4,0,0,0,4,4,1,0.4235294117647059
4163,8,0,0,0,8,8,1,0.5306122448979592
4175,4,0,0,0,4,4,1,0.3409090909090909
4187,4,0,0,0,4,4,1,0.33587786259541985
4195,3,0,0,0,3,3,1,0.10843373493975904
4222,0,0,4,0,4,4,1,0.2916666666666667
4242,0,0,6,0,8,6,0.75,0.6176470588235294
4251,0,0,4,0,4,4,1,0.4846153846153846
4260,0,0,4,0,4,4,1,0.35664335664335667
4271,0,0,4,0,4,4,1,0.42857142857142855
4273,0,0,8,0,8,8,1,0.873015873015873
4321,0,0,4,0,4,4,1,0.7
4325,0,0,6,0,8,6,0.75,0.6610169491525424
4332,4,0,0,0,4,4,1,0.1941747572815534
4333,0,0,4,0,4,4,1,0.45652173913043476
4345,0,0,4,0,4,4,1,0.8285714285714286
4390,0,0,4,0,4,4,1,0.3310344827586207
4435,8,0,0,0,8,8,1,0
