seedling_id,colonized,uncolonized,plate,column,tip_notes,puller,row,morphotype
3827,95,5,101,8,but Y not Em?,hvm,C,Y
3827,95,5,101,8,but Y not Em?,hvm,A,Y
3860,10,90,101,1,NA,hvm,F,Y
3860,10,90,101,1,NA,hvm,E,Y
4325,117,60,102,5,NA,hvm,H,Y
4325,117,60,102,5,NA,hvm,G,Y
